Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2011-01-21T08:15:13,35.4,19.0,0.6,1.4124,19.9849,0.2333,11.0639,0.1277
2011-01-21T08:25:14,20.7,19.0,0.9,0.5367,13.8445,0.139,7.3245,0.0733
2011-01-21T08:35:13,29.7,19.0,0.7,1.1455,18.5444,0.2086,10.2033,0.1123
2011-01-21T09:10:14,30.6,18.9,0.6,1.199,18.9185,0.213,10.452,0.1147
2011-01-21T09:15:13,50.8,19.6,0.7,3.0448,25.3006,0.3598,14.9093,0.2042
2011-01-21T09:20:14,34.7,19.7,0.6,1.5315,20.5337,0.245,11.398,0.1344
2011-01-21T09:25:13,37.9,19.6,0.6,1.7778,21.5759,0.265,12.1463,0.1464
2011-01-21T09:30:13,46.0,19.2,0.5,2.4941,23.9466,0.3204,13.8961,0.1795
2011-01-21T09:35:13,50.7,19.4,0.8,3.0254,25.2844,0.3585,14.839,0.2039
2011-01-21T09:40:13,43.1,19.1,0.5,2.2601,23.2872,0.303,13.4201,0.1684
2011-01-21T09:45:13,54.0,18.8,0.7,3.4846,26.2953,0.388,15.6242,0.223
2011-01-21T09:50:13,41.4,18.9,0.5,2.193,23.0802,0.298,13.1639,0.1666
2011-01-21T10:00:13,59.4,18.1,0.7,4.036,27.3427,0.4216,16.5018,0.2446
2011-01-21T10:05:13,60.3,18.6,0.7,4.0708,27.3785,0.4244,16.5449,0.246
2011-01-21T10:10:13,98.6,18.7,0.6,9.078,32.2092,0.6922,21.0602,0.431
2011-01-21T10:15:13,95.9,18.9,0.6,8.3631,31.7444,0.6572,20.5962,0.4061
2011-01-21T10:20:13,96.2,19.6,0.6,8.0328,31.4508,0.641,20.3338,0.395
2011-01-21T10:25:13,129.2,20.4,0.6,12.631,33.8405,0.8603,22.771,0.5547
2011-01-21T10:30:13,168.4,20.8,0.5,18.0487,35.6319,1.0948,24.5709,0.7346
2011-01-21T10:35:13,187.7,20.8,0.5,21.1736,36.3675,1.2235,25.3586,0.835
2011-01-21T10:40:13,187.6,20.7,0.5,21.0125,36.3363,1.2141,25.3585,0.8286
2011-01-21T10:45:13,155.6,21.3,0.5,15.4956,34.7961,0.9875,23.8102,0.6508
2011-01-21T10:55:13,266.2,23.3,0.5,33.5729,37.8803,1.7278,27.0056,1.2432
2011-01-21T11:00:13,203.4,25.4,0.5,22.7,36.193,1.2997,25.3382,0.8959
2011-01-21T11:05:13,240.5,26.6,0.5,28.6866,37.0666,1.5458,26.2627,1.0923
2011-01-21T11:10:13,232.9,27.3,0.5,27.5659,36.8101,1.5047,26.0275,1.0591
2011-01-21T11:15:14,205.6,27.2,0.5,23.5223,36.2178,1.337,25.4098,0.9257
2011-01-21T11:20:13,274.6,28.1,0.5,34.3036,37.6245,1.7731,26.875,1.2764
2011-01-21T11:25:13,133.1,27.9,0.6,12.3019,33.1505,0.8585,22.2561,0.5527
2011-01-21T11:30:13,223.6,26.8,0.5,25.9105,36.6637,1.4309,25.8536,1.0022
2011-01-21T11:35:13,253.5,28.4,0.5,30.2057,37.1252,1.6128,26.37,1.1455
2011-01-21T11:40:13,257.2,28.5,0.5,31.593,37.2717,1.6685,26.5323,1.1907
2011-01-21T11:45:13,180.2,28.1,0.5,19.9703,35.3891,1.1914,24.6803,0.8092
2011-01-21T11:50:13,228.0,26.9,0.5,28.2861,37.0497,1.5232,26.3431,1.0738
2011-01-21T11:55:13,237.1,25.8,0.5,30.1511,37.4377,1.5929,26.7059,1.129
2011-01-21T12:00:14,172.6,24.7,0.5,19.5581,35.7458,1.1651,24.8143,0.7882
2011-01-21T12:05:13,164.5,24.6,0.5,18.1914,35.449,1.1077,24.4774,0.7432
2011-01-21T12:10:13,219.7,23.8,0.5,27.4025,37.3218,1.478,26.4379,1.0365
2011-01-21T12:15:13,262.8,23.7,0.5,35.5048,38.3516,1.7859,27.5972,1.2865
2011-01-21T12:20:13,293.6,24.3,0.5,40.0871,38.6361,1.9761,27.7911,1.4424
2011-01-21T12:25:13,300.0,24.7,0.5,39.5037,38.6361,1.9538,27.8133,1.4203
2011-01-21T12:30:13,244.9,24.2,0.5,30.3257,37.6961,1.5966,26.8169,1.1308
2011-01-21T12:35:13,277.1,23.8,0.5,34.6599,38.1108,1.763,27.2526,1.2718
2011-01-21T12:45:13,460.8,31.5,0.4,65.1099,39.3092,2.9993,28.6363,2.2737
2011-01-21T12:50:13,312.7,32.3,0.5,39.6243,37.684,2.0082,27.0594,1.4643
2011-01-21T12:55:13,440.4,34.7,0.4,59.2655,38.736,2.8007,28.14,2.1061
2011-01-21T13:00:13,279.5,33.9,0.5,35.1709,37.0619,1.8389,26.4534,1.3295
2011-01-21T13:05:13,152.2,30.8,0.5,14.9136,33.8212,0.9852,23.0321,0.6475
2011-01-21T13:10:13,73.5,27.3,0.6,4.712,27.6402,0.4717,17.0073,0.2771
2011-01-21T13:15:13,123.2,25.3,0.5,11.0451,32.7293,0.7962,21.8193,0.5062
2011-01-21T13:20:13,165.4,25.0,0.5,17.4612,35.0929,1.0801,24.1769,0.7222
2011-01-21T13:25:13,247.4,25.4,0.5,30.5317,37.5542,1.6103,26.718,1.1427
2011-01-21T13:30:13,185.2,24.8,0.5,20.4149,35.7947,1.201,24.9292,0.8189
2011-01-21T13:35:13,188.0,25.4,0.5,21.5877,36.113,1.2529,25.2109,0.8563
2011-01-21T13:40:13,121.1,23.3,0.5,11.4554,33.183,0.811,22.1555,0.517
2011-01-21T13:45:13,108.8,22.5,0.6,9.6666,32.2808,0.7254,21.2388,0.4551
2011-01-21T13:50:13,83.5,21.4,0.6,6.5302,30.1444,0.5674,19.1123,0.3417
2011-01-21T13:55:13,54.8,20.5,0.7,3.3077,25.8572,0.3788,15.2779,0.2165
2011-01-21T14:00:13,50.6,19.4,0.5,2.851,24.873,0.3463,14.5732,0.1956
2011-01-21T14:05:13,52.9,19.1,0.7,3.0959,25.5057,0.3639,14.9392,0.2072
2011-01-21T14:10:13,39.3,18.9,0.5,1.8205,21.7757,0.269,12.2216,0.149
2011-01-21T14:15:13,70.0,18.7,0.6,5.1161,28.8711,0.4861,17.8068,0.2873
2011-01-21T14:20:13,52.4,18.6,0.7,3.1453,25.6785,0.3661,15.1326,0.2078
2011-01-21T14:25:13,56.1,18.3,0.7,3.5699,26.542,0.3944,15.7974,0.226
2011-01-21T14:30:13,65.2,18.2,0.7,4.6192,28.2553,0.4576,17.2609,0.2676
2011-01-21T14:35:13,39.4,17.9,0.6,1.9275,22.2776,0.2773,12.5876,0.1531
2011-01-21T14:40:13,67.4,17.9,0.7,4.8343,28.5842,0.4691,17.5251,0.2759
2011-01-21T14:45:13,55.2,17.8,0.7,3.3735,26.184,0.3804,15.486,0.2178
2011-01-21T14:50:13,47.7,17.8,0.5,2.6406,24.4642,0.3313,14.2208,0.1857
2011-01-21T14:55:13,54.3,17.5,0.8,3.309,26.0421,0.3759,15.4509,0.2142
2011-01-21T15:00:13,53.8,17.7,0.8,3.079,25.5597,0.3612,14.9767,0.2056
2011-01-21T15:05:14,43.0,17.5,0.5,2.0536,22.7066,0.2865,12.9561,0.1585
2011-01-21T15:10:13,62.5,17.8,0.7,4.1194,27.5386,0.4273,16.6416,0.2475
2011-01-21T15:15:14,68.2,18.1,0.7,4.804,28.5079,0.4678,17.4697,0.275
2011-01-21T15:20:13,38.3,18.0,0.6,1.7348,21.4952,0.2611,12.1772,0.1425
2011-01-21T15:25:14,40.2,17.9,0.5,1.8897,22.1012,0.2742,12.5562,0.1505
2011-01-21T15:30:14,26.3,17.7,0.7,0.7753,16.0688,0.1692,8.6268,0.0899
2011-01-21T15:35:13,34.4,17.2,0.6,1.3848,19.9264,0.2308,11.0395,0.1254
2011-01-21T15:40:14,32.3,17.0,0.6,1.2194,19.0638,0.2155,10.4508,0.1167
2011-01-21T15:45:14,37.1,17.1,0.6,1.6102,21.0043,0.2507,11.7675,0.1368
2011-01-21T15:50:14,29.7,17.1,0.7,1.0814,18.2534,0.202,9.9336,0.1089
2011-01-21T15:55:13,44.2,17.0,0.5,2.2164,23.2169,0.2989,13.266,0.1671
2011-01-21T16:00:13,53.4,17.2,0.7,3.0144,25.4191,0.357,14.8809,0.2026
2011-01-21T16:05:13,49.0,17.3,0.5,2.6767,24.5872,0.3323,14.2353,0.188
2011-01-21T16:10:13,51.7,17.1,0.7,2.9178,25.229,0.3501,14.7042,0.1984
2011-01-21T16:15:13,36.2,16.6,0.6,1.5526,20.7765,0.2456,11.5179,0.1348
2011-01-21T16:20:14,27.1,16.3,0.7,0.9522,17.4637,0.188,9.4211,0.1011
2011-01-21T16:25:14,38.9,16.4,0.6,1.7968,21.8135,0.2658,12.2178,0.1471
2011-01-21T16:30:13,46.8,16.5,0.5,2.4095,23.8848,0.3132,13.7792,0.1749
2011-01-21T16:35:14,39.2,16.6,0.6,1.7593,21.6527,0.2631,12.1822,0.1444
2011-01-21T16:40:14,20.1,16.6,0.9,0.502,13.4891,0.1344,7.2049,0.0697
2011-01-21T16:45:14,23.7,16.5,0.8,0.6744,15.2532,0.1564,8.1362,0.0829
2011-01-21T16:50:14,23.4,16.6,0.8,0.6204,14.7291,0.1498,7.8051,0.0795
2011-01-22T07:50:14,32.0,11.3,0.9,1.1103,18.6675,0.2024,10.2557,0.1083
2011-01-22T07:55:14,23.5,11.5,1.3,0.5441,14.1036,0.1385,7.4826,0.0727
2011-01-22T08:00:14,47.2,11.9,0.7,2.371,23.9968,0.3077,13.7272,0.1727
2011-01-22T08:05:13,45.6,12.0,0.7,1.9621,22.6317,0.2768,12.8046,0.1532
2011-01-22T08:10:14,76.4,11.9,0.9,5.0691,29.2701,0.4768,18.0359,0.2811
2011-01-22T08:30:13,95.5,16.1,0.8,7.3907,31.2855,0.6069,20.0405,0.3688
2011-01-22T08:35:13,162.4,15.6,0.7,17.6572,36.0004,1.069,24.84,0.7108
2011-01-22T08:40:13,142.6,15.8,0.8,14.171,34.9185,0.9188,23.7252,0.5973
2011-01-22T08:45:13,108.7,15.4,0.8,8.8969,32.4553,0.6788,21.167,0.4203
2011-01-22T08:50:13,130.6,15.3,0.8,11.5885,33.9108,0.8043,22.6433,0.5118
2011-01-22T08:55:13,166.8,16.4,0.7,16.3456,35.5463,1.0188,24.3784,0.6705
2011-01-22T09:20:13,609.4,20.8,0.6,92.6906,41.6604,3.9376,30.4046,3.0486
2011-01-22T09:25:13,588.3,24.0,0.6,88.0038,41.1501,3.794,30.0491,2.9287
2011-01-22T09:35:13,634.6,27.7,0.5,94.8102,40.9391,4.1017,29.8186,3.1796
2011-01-22T09:45:13,723.8,24.9,0.5,110.4748,41.7014,4.6767,30.2728,3.6493
2011-01-22T10:00:13,155.7,24.5,0.5,16.2362,34.8462,1.029,23.8966,0.6794
2011-01-22T10:05:13,170.3,20.0,0.6,17.8655,35.8486,1.0836,24.7412,0.7221
2011-01-22T10:10:13,161.0,19.1,0.6,15.7641,35.2021,0.992,24.0907,0.6544
2011-01-22T10:40:13,866.9,32.2,0.4,129.5099,41.3668,5.5826,29.5927,4.3764
2011-01-22T10:45:13,869.7,32.4,0.4,129.3556,41.2978,5.5912,29.5319,4.3802
2011-01-22T10:50:13,881.3,32.6,0.4,131.148,41.3668,5.6607,29.567,4.4356
2011-01-22T10:55:13,906.5,35.1,0.4,133.0215,41.0361,5.8238,29.158,4.5621
2011-01-22T11:05:13,264.8,31.5,0.4,29.9581,36.7483,1.6193,26.1238,1.1468
2011-01-22T11:20:13,941.5,32.9,0.4,139.8021,41.5244,6.0362,29.5291,4.7344
2011-01-22T11:25:13,945.9,33.8,0.4,139.9114,41.4176,6.0667,29.4107,4.7572
2011-01-22T11:30:13,947.8,34.2,0.4,140.1029,41.4039,6.0804,29.399,4.7656
2011-01-22T11:35:13,960.5,33.8,0.4,141.9932,41.4684,6.1563,29.4249,4.8256
2011-01-22T11:40:13,966.1,32.8,0.4,143.4789,41.6467,6.1894,29.5681,4.8525
2011-01-22T11:45:13,970.9,34.5,0.4,143.0759,41.4235,6.2197,29.331,4.878
2011-01-22T11:50:13,974.1,34.2,0.4,143.5558,41.4697,6.2334,29.3794,4.8863
2011-01-22T11:55:13,982.4,34.5,0.4,144.0711,41.387,6.2754,29.2895,4.9189
2011-01-22T12:00:13,1001.6,35.5,0.4,146.2355,41.3623,6.3951,29.1704,5.0131
2011-01-22T12:05:13,1030.6,36.2,0.4,150.6212,41.4274,6.5932,29.1557,5.1661
2011-01-22T12:10:13,1060.5,36.7,0.4,154.0975,41.3506,6.7891,28.9441,5.324
2011-01-22T12:30:13,1197.4,36.8,0.4,174.0596,41.762,7.7062,28.7965,6.0445
2011-01-22T12:40:13,1106.5,31.6,0.4,163.8164,42.0946,7.0748,29.4291,5.5665
2011-01-22T12:55:13,1132.6,32.8,0.4,167.7597,42.1141,7.2555,29.4009,5.7059
2011-01-22T13:00:13,1030.1,35.8,0.4,150.7921,41.4521,6.5964,29.1551,5.1721
2011-01-22T13:05:13,1002.6,35.1,0.4,147.5908,41.4788,6.4189,29.281,5.0405
2011-01-22T13:10:13,984.0,34.6,0.4,145.2027,41.4736,6.3027,29.3417,4.9487
2011-01-22T13:15:13,984.4,34.0,0.4,146.2302,41.6487,6.3075,29.5005,4.9569
2011-01-22T13:20:13,974.3,34.6,0.4,144.1324,41.4775,6.2468,29.378,4.9061
2011-01-22T13:25:13,985.3,35.1,0.4,144.4942,41.3675,6.2996,29.2497,4.94
2011-01-22T13:30:13,967.7,32.8,0.4,143.6927,41.663,6.1871,29.5886,4.8564
2011-01-22T13:35:13,957.2,31.8,0.4,143.3682,41.8329,6.1277,29.7902,4.8126
2011-01-22T13:40:13,943.2,32.9,0.4,140.3219,41.5919,6.0401,29.6068,4.7395
2011-01-22T13:45:13,933.6,33.2,0.4,138.8533,41.5367,5.9796,29.5794,4.6943
2011-01-22T13:50:13,936.3,33.0,0.4,139.3398,41.5328,6.0063,29.5844,4.7099
2011-01-22T13:55:13,930.3,34.6,0.4,137.532,41.3089,5.9681,29.3901,4.6795
2011-01-22T14:05:13,937.0,34.9,0.4,138.2579,41.2809,6.0138,29.3301,4.7139
2011-01-22T14:10:13,901.1,33.3,0.4,133.7607,41.3929,5.7724,29.5564,4.5256
2011-01-22T14:15:13,895.4,31.1,0.4,134.4776,41.7047,5.7381,29.8667,4.5026
2011-01-22T14:20:13,880.6,31.5,0.4,132.1949,41.6122,5.6585,29.8332,4.4311
2011-01-22T14:25:13,871.4,32.2,0.4,130.4976,41.5263,5.5925,29.7919,4.3803
2011-01-22T14:30:13,854.2,31.7,0.4,128.2152,41.5172,5.4857,29.8319,4.2979
2011-01-22T14:35:13,844.1,31.0,0.4,126.9966,41.551,5.4285,29.8864,4.2493
2011-01-22T14:40:13,858.4,31.3,0.4,129.1199,41.5595,5.5198,29.8573,4.3246
2011-01-22T14:45:13,862.4,30.5,0.4,130.0472,41.6572,5.5368,29.9327,4.3447
2011-01-22T14:55:13,907.4,28.5,0.4,138.2783,42.148,5.8166,30.2608,4.5696
2011-01-22T15:20:13,776.8,26.4,0.4,119.4871,41.988,5.0071,30.4899,3.9189
2011-01-22T15:25:13,709.4,28.3,0.4,107.1662,41.4391,4.5602,30.1825,3.5506
2011-01-22T15:30:13,684.4,27.7,0.4,103.3053,41.3896,4.3985,30.2026,3.4204
2011-01-22T15:35:13,670.6,28.0,0.4,100.9436,41.3362,4.3037,30.1822,3.3445
2011-01-22T15:40:13,650.4,26.9,0.4,97.9035,41.344,4.1738,30.243,3.2372
2011-01-22T15:45:13,620.0,27.0,0.4,92.7602,41.1546,3.9788,30.1328,3.0784
2011-01-22T15:50:13,603.9,26.3,0.4,90.1142,41.1592,3.8648,30.1817,2.9857
2011-01-22T15:55:13,586.2,24.5,0.4,87.408,41.3004,3.7403,30.3315,2.8818
2011-01-22T16:00:13,567.7,24.3,0.4,84.1793,41.2073,3.6179,30.276,2.7804
2011-01-22T16:05:13,544.5,23.9,0.4,80.4504,41.1481,3.47,30.2367,2.6607
2011-01-22T16:10:13,520.9,23.9,0.4,76.3593,40.9678,3.3188,30.1007,2.5368
2011-01-22T16:15:13,498.8,23.4,0.4,72.7335,40.904,3.1769,30.0745,2.4184
2011-01-22T16:20:13,479.2,23.6,0.4,69.0447,40.7107,3.043,29.9122,2.3082
2011-01-22T16:25:13,454.1,22.4,0.4,64.8968,40.6644,2.8781,29.8671,2.1729
2011-01-22T16:30:13,433.8,21.8,0.4,61.2481,40.5375,2.7385,29.7571,2.0583
2011-01-22T16:35:13,412.6,21.6,0.4,57.3585,40.3907,2.5958,29.6192,1.9365
2011-01-22T16:40:13,386.5,21.5,0.4,52.8322,40.1235,2.4253,29.3531,1.7999
2011-01-22T16:45:13,361.4,21.4,0.4,48.2805,39.8318,2.2572,29.0517,1.6619
2011-01-22T16:50:13,336.3,19.9,0.4,43.7564,39.6771,2.081,28.7658,1.5211
2011-01-22T16:55:13,310.3,19.5,0.4,39.1318,39.2929,1.9079,28.3683,1.3794
2011-01-22T17:00:13,284.9,18.9,0.4,34.7709,38.9434,1.7421,27.9647,1.2434
2011-01-22T17:05:13,262.0,18.5,0.5,30.6845,38.485,1.5858,27.4681,1.1171
2011-01-22T17:10:13,235.2,17.9,0.5,26.1524,37.8655,1.4101,26.7965,0.976
2011-01-22T17:15:13,209.0,16.9,0.5,21.835,37.1531,1.2375,26.0097,0.8395
2011-01-22T17:20:13,185.6,15.8,0.5,18.0177,36.3121,1.081,25.0904,0.7181
2011-01-22T17:25:13,158.6,15.0,0.5,14.01,35.1203,0.9113,23.7931,0.5888
2011-01-22T17:30:13,132.4,14.2,0.6,10.3424,33.528,0.7478,22.0951,0.4681
2011-01-22T17:35:13,107.2,13.3,0.6,7.1203,31.4118,0.5913,19.9166,0.3575
2011-01-22T17:40:14,80.9,12.3,0.7,3.5533,26.639,0.3965,15.7382,0.2258
2011-01-22T17:45:14,53.3,11.0,1.1,0.2712,10.3921,0.0978,5.5415,0.0489
2011-01-24T07:40:14,22.4,8.9,1.3,0.5938,14.6126,0.1451,7.7349,0.0768
2011-01-24T07:45:13,24.5,9.0,1.3,0.6667,15.3007,0.1545,8.1679,0.0816
2011-01-24T07:50:14,29.6,9.2,1.1,0.9776,17.7561,0.189,9.6232,0.1016
2011-01-24T07:55:14,34.6,9.4,1.0,1.2992,19.7063,0.2209,10.8671,0.1196
2011-01-24T08:00:14,31.2,9.7,1.1,1.0643,18.3191,0.1985,9.9656,0.1068
2011-01-24T08:05:14,33.1,9.9,1.0,1.2395,19.3613,0.2152,10.6413,0.1165
2011-01-24T08:10:14,43.9,10.5,0.8,1.9976,22.7359,0.2806,12.8492,0.1555
2011-01-24T08:15:14,42.6,10.7,0.9,1.798,21.9345,0.2642,12.332,0.1458
2011-01-24T08:20:14,63.3,11.2,1.1,3.9268,27.5165,0.4124,16.5156,0.2378
2011-01-24T08:25:14,50.1,12.0,0.8,2.4438,24.1374,0.3151,13.8606,0.1763
2011-01-24T08:40:13,93.8,14.1,1.0,6.8115,30.9405,0.5763,19.5889,0.3477
2011-01-24T08:45:13,56.3,14.1,0.7,2.6894,24.7187,0.3343,14.3041,0.188
2011-01-24T08:50:13,70.0,14.0,1.0,4.9333,28.8822,0.4729,17.708,0.2786
2011-01-24T08:55:13,94.3,15.2,1.0,7.2685,31.2569,0.6009,19.9127,0.365
2011-01-24T09:00:13,72.2,15.2,1.0,4.6947,28.5098,0.4609,17.3818,0.2701
2011-01-24T09:05:13,86.7,15.4,1.0,6.7543,30.8194,0.5738,19.4921,0.3465
2011-01-24T09:10:13,92.1,16.1,0.9,7.2638,31.1879,0.6011,19.8381,0.3662
2011-01-24T09:15:14,123.8,16.8,0.9,11.5089,33.7324,0.8049,22.4672,0.5123
2011-01-24T09:20:14,91.3,17.3,0.9,6.9249,30.8194,0.5855,19.5407,0.3544
2011-01-24T09:25:13,121.1,17.4,0.9,11.3404,33.6094,0.7976,22.365,0.5071
2011-01-24T09:30:13,127.1,18.1,0.9,11.9333,33.8327,0.8262,22.6333,0.5272
