Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2011-01-21T08:10:24,20.1,19.3,9.3,0.8756,70.38,0.0263,47.8972,0.0183
2011-01-21T08:15:24,35.7,19.5,5.4,1.8826,75.7877,0.046,56.0074,0.0336
2011-01-21T08:20:24,20.2,19.6,9.5,0.8724,70.2588,0.0262,47.9724,0.0182
2011-01-21T08:25:24,20.6,19.6,9.0,0.902,70.5301,0.0269,48.4215,0.0186
2011-01-21T08:35:24,29.5,19.6,6.1,1.5654,74.5921,0.0401,54.1485,0.0289
2011-01-21T09:10:24,32.3,19.4,5.5,1.7864,75.4811,0.0442,55.446,0.0322
2011-01-21T09:15:24,49.2,20.0,3.7,3.0649,78.2827,0.0672,60.1818,0.0509
2011-01-21T09:20:24,34.3,20.2,5.2,1.9361,75.7635,0.0471,56.0724,0.0345
2011-01-21T09:25:24,38.3,20.2,4.8,2.206,76.5146,0.052,57.3017,0.0385
2011-01-21T09:30:24,46.6,20.0,4.0,2.7775,77.8009,0.0622,59.4133,0.0467
2011-01-21T09:35:24,49.3,20.2,3.8,3.0502,78.2429,0.067,60.0628,0.0508
2011-01-21T09:40:24,44.1,20.0,4.2,2.6551,77.6055,0.06,59.0577,0.045
2011-01-21T09:45:24,53.7,19.9,3.4,3.506,79.102,0.0746,61.3246,0.0572
2011-01-21T09:50:24,40.7,20.1,4.4,2.5537,77.4366,0.0581,58.8457,0.0434
2011-01-21T10:00:24,60.0,18.9,2.9,4.2622,80.1336,0.0872,62.6009,0.0681
2011-01-21T10:05:24,61.4,19.3,2.9,4.2026,79.9539,0.0864,62.4562,0.0673
2011-01-21T10:10:24,98.6,19.5,1.9,7.2142,82.3071,0.1362,65.0725,0.1109
2011-01-21T10:15:24,95.5,20.0,2.0,6.7132,81.9703,0.1281,64.77,0.1036
2011-01-21T10:20:24,97.8,20.5,2.0,6.6104,81.7446,0.1265,64.6149,0.1023
2011-01-21T10:25:24,128.1,21.3,1.6,8.9339,82.8069,0.1649,65.6681,0.136
2011-01-21T10:30:24,169.5,21.7,1.3,11.8006,83.8043,0.2119,66.4692,0.1775
2011-01-21T10:35:24,190.1,22.3,1.2,13.2768,84.1253,0.2356,66.6558,0.1992
2011-01-21T10:40:24,191.7,23.1,1.2,13.2405,83.9489,0.2349,66.5328,0.199
2011-01-21T10:45:24,156.1,24.0,1.4,10.4155,82.8619,0.1894,65.7592,0.1584
2011-01-21T10:55:24,276.8,24.9,0.9,19.5083,84.9277,0.3391,66.8461,0.2918
2011-01-21T11:00:24,203.6,25.9,1.1,13.8715,83.4158,0.2475,66.0963,0.2099
2011-01-21T11:05:24,239.5,26.9,1.0,16.4611,83.8768,0.2908,66.2667,0.2484
2011-01-21T11:10:24,227.7,27.4,1.0,15.6296,83.5107,0.278,66.0285,0.2367
2011-01-21T11:15:24,208.4,27.5,1.1,14.4113,83.2205,0.2573,65.8867,0.2187
2011-01-21T11:20:24,274.2,28.2,0.9,19.0769,84.0627,0.3354,66.2287,0.288
2011-01-21T11:25:24,131.2,28.4,1.6,8.6006,80.9062,0.1622,64.1903,0.134
2011-01-21T11:30:24,232.5,27.4,1.0,16.0301,83.5619,0.2839,66.032,0.2428
2011-01-21T11:35:24,250.0,28.8,0.9,17.13,83.5069,0.3036,65.9021,0.2599
2011-01-21T11:40:24,254.5,29.2,0.9,17.8273,83.5752,0.3155,65.9288,0.2704
2011-01-21T11:45:24,180.2,29.1,1.1,12.5774,82.2929,0.2282,65.2308,0.1928
