Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2011-01-21T08:15:15,35.5,19.7,0.8,6.9664,44.9154,0.2,37.8475,0.1841
2011-01-21T08:25:15,20.7,19.7,1.0,3.9356,43.6353,0.1186,36.4834,0.1079
2011-01-21T08:35:15,29.7,19.7,0.8,6.054,44.5908,0.1756,37.5138,0.1614
2011-01-21T09:10:15,30.8,19.6,0.8,6.3302,44.6221,0.1826,37.6512,0.1681
2011-01-21T09:15:15,50.5,20.1,0.6,10.9322,45.8521,0.3046,38.7597,0.2821
2011-01-21T09:20:15,34.6,20.1,0.7,7.2617,44.8738,0.2081,37.8765,0.1917
2011-01-21T09:25:15,37.9,20.1,0.7,7.9751,45.158,0.2273,38.0679,0.2095
2011-01-21T09:30:15,46.1,19.8,0.7,9.8078,45.6238,0.2745,38.5527,0.2544
2011-01-21T09:35:15,50.5,20.0,0.6,10.9232,45.8573,0.3042,38.757,0.2818
2011-01-21T09:40:15,43.3,19.9,0.7,9.2673,45.508,0.2605,38.4448,0.2411
2011-01-21T09:45:15,54.0,19.6,0.6,11.9541,46.1136,0.33,39.0072,0.3065
2011-01-21T09:50:15,41.3,19.7,0.7,8.9747,45.4273,0.2529,38.3783,0.2338
2011-01-21T09:55:15,20.0,19.3,1.1,3.922,43.6093,0.1178,36.58,0.1072
2011-01-21T10:00:15,59.5,18.8,0.6,12.9332,46.3946,0.3543,39.3052,0.329
2011-01-21T10:05:15,60.4,19.2,0.6,13.0547,46.3627,0.3581,39.2746,0.3324
2011-01-21T10:10:15,98.5,19.4,0.5,21.9644,47.4379,0.5831,40.2794,0.5453
2011-01-21T10:15:15,95.9,19.8,0.5,20.8124,47.2851,0.5547,40.1134,0.5188
2011-01-21T10:20:15,96.5,20.1,0.5,20.436,47.1868,0.5463,40.027,0.5106
2011-01-21T10:25:15,129.0,20.7,0.5,27.5751,47.6818,0.7256,40.5195,0.6805
2011-01-21T10:30:15,168.7,21.3,0.5,35.6527,48.1656,0.9277,40.8905,0.8719
2011-01-21T10:35:15,188.2,21.8,0.5,40.0776,48.3739,1.0376,41.0204,0.977
2011-01-21T10:40:15,188.3,21.9,0.5,40.0708,48.3304,1.0376,41.0197,0.9769
2011-01-21T10:45:15,155.6,22.1,0.5,32.4149,47.8965,0.8497,40.6197,0.798
2011-01-21T10:55:15,268.0,23.4,0.5,58.1681,48.9379,1.4848,41.4972,1.4017
2011-01-21T11:00:15,203.5,24.4,0.5,42.7648,48.2035,1.1138,40.8423,1.0471
2011-01-21T11:05:15,240.3,24.9,0.4,51.0175,48.5167,1.3202,41.0662,1.2423
2011-01-21T11:10:15,232.1,25.2,0.5,49.2827,48.3883,1.2805,40.974,1.2028
2011-01-21T11:15:15,206.1,25.4,0.5,43.9179,48.1138,1.1466,40.7678,1.0773
2011-01-21T11:20:15,274.7,25.7,0.4,58.6417,48.6732,1.5148,41.1748,1.4242
2011-01-21T11:25:15,132.8,25.8,0.5,27.3456,47.0886,0.7343,39.8665,0.6859
2011-01-21T11:30:15,225.1,25.5,0.4,47.3632,48.2492,1.2319,40.8836,1.1585
2011-01-21T11:35:15,252.9,26.8,0.4,52.7676,48.3427,1.3758,40.8652,1.2913
2011-01-21T11:40:15,256.8,27.1,0.4,54.5735,48.3148,1.422,40.8796,1.335
2011-01-21T11:45:15,180.2,26.9,0.4,38.5026,47.6766,1.0183,40.3397,0.9545
2011-01-21T11:50:15,228.6,26.5,0.4,49.6657,48.2269,1.2957,40.8207,1.2167
2011-01-21T11:55:15,236.8,25.9,0.4,52.0867,48.437,1.3532,41.0004,1.2704
2011-01-21T12:00:15,172.4,24.4,0.4,37.905,47.9141,0.9958,40.6255,0.933
2011-01-21T12:05:15,164.0,23.9,0.5,36.0138,47.9102,0.9474,40.6103,0.8868
2011-01-21T12:10:15,220.2,23.7,0.4,48.8877,48.5671,1.2637,41.1569,1.1878
2011-01-21T12:15:15,264.4,23.9,0.4,59.6105,48.9438,1.5265,41.4389,1.4385
2011-01-21T12:20:15,294.0,24.7,0.4,65.6789,49.0277,1.6815,41.4674,1.5839
2011-01-21T12:25:15,299.1,24.7,0.4,64.8189,48.9542,1.6629,41.4368,1.5643
2011-01-21T12:30:15,244.7,24.1,0.4,52.8354,48.612,1.364,41.2051,1.2823
2011-01-21T12:35:15,280.0,24.2,0.4,59.6668,48.88,1.5256,41.4071,1.441
2011-01-21T12:45:15,461.4,29.2,0.4,99.466,49.2482,2.5549,41.4019,2.4024
2011-01-21T12:50:15,311.6,30.1,0.4,65.3008,48.3313,1.7078,40.7584,1.6021
2011-01-21T12:55:15,436.5,32.2,0.4,90.718,48.7679,2.3632,40.9404,2.2159
2011-01-21T13:00:15,279.8,31.2,0.4,59.6326,47.9895,1.5702,40.4607,1.4738
2011-01-21T13:05:15,151.0,29.4,0.4,30.9805,46.8492,0.8397,39.5842,0.7826
2011-01-21T13:10:15,73.3,26.9,0.5,14.4047,45.5301,0.4044,38.3943,0.3752
2011-01-21T13:15:15,123.2,25.4,0.5,25.2768,46.9507,0.6802,39.712,0.6365
2011-01-21T13:20:15,166.0,25.2,0.5,35.0496,47.6623,0.9245,40.351,0.8686
2011-01-21T13:25:15,247.1,25.6,0.4,52.82,48.4904,1.3693,41.0441,1.2869
2011-01-21T13:30:15,186.8,24.9,0.4,39.6082,47.9082,1.037,40.6042,0.9755
2011-01-21T13:35:15,187.1,25.4,0.4,40.3478,47.9069,1.0614,40.5914,0.994
2011-01-21T13:40:15,121.3,23.5,0.5,25.9156,47.235,0.6929,40.0193,0.6476
2011-01-21T13:45:15,108.9,22.6,0.5,23.1717,47.1316,0.6207,39.9458,0.5801
2011-01-21T13:50:15,83.4,21.7,0.5,17.7834,46.6873,0.483,39.567,0.4495
2011-01-21T13:55:15,54.6,21.0,0.6,11.4743,45.8248,0.3204,38.7468,0.2961
2011-01-21T14:00:15,50.8,20.0,0.6,10.6019,45.802,0.296,38.7114,0.2739
2011-01-21T14:05:15,52.7,19.7,0.6,11.0742,45.8449,0.3079,38.8388,0.2851
2011-01-21T14:10:15,39.4,19.6,0.7,8.093,45.2699,0.23,38.2062,0.2118
2011-01-21T14:15:15,70.3,19.5,0.5,15.2822,46.673,0.4148,39.5657,0.3862
2011-01-21T14:20:15,52.3,19.1,0.6,11.2163,46.0414,0.3113,38.9395,0.288
2011-01-21T14:25:15,55.7,18.9,0.6,12.0608,46.2307,0.3331,39.1398,0.3081
2011-01-21T14:30:15,65.2,18.8,0.6,14.3214,46.6118,0.3898,39.5197,0.3624
2011-01-21T14:35:15,39.6,18.5,0.7,8.4601,45.5262,0.2381,38.4669,0.2199
2011-01-21T14:40:15,67.5,18.5,0.6,14.8435,46.6821,0.4021,39.6251,0.3746
2011-01-21T14:45:15,55.2,18.4,0.6,11.8802,46.2632,0.3269,39.166,0.3033
2011-01-21T14:50:15,47.4,18.5,0.7,10.131,45.908,0.2823,38.8356,0.2609
2011-01-21T14:55:15,54.6,18.3,0.6,11.7943,46.1754,0.3241,39.1822,0.301
2011-01-21T15:00:15,53.6,18.3,0.6,11.2437,46.1728,0.3103,39.0798,0.2877
2011-01-21T15:05:15,43.1,18.1,0.7,8.9113,45.6791,0.2497,38.5997,0.2309
2011-01-21T15:10:15,62.5,18.2,0.6,13.5556,46.5696,0.3692,39.4844,0.3433
2011-01-21T15:15:15,68.2,18.2,0.6,14.9311,46.7894,0.4043,39.691,0.3762
2011-01-21T15:20:15,38.5,18.0,0.7,8.0677,45.4325,0.2272,38.4239,0.21
2011-01-21T15:25:15,40.3,17.9,0.7,8.4929,45.5873,0.2386,38.5336,0.2204
2011-01-21T15:30:15,26.1,17.7,0.9,4.9996,44.4298,0.147,37.3468,0.1339
2011-01-21T15:35:15,34.4,17.3,0.7,7.024,45.2634,0.2002,38.2003,0.1839
2011-01-21T15:40:15,32.3,17.3,0.8,6.5509,45.0559,0.1873,38.0453,0.1722
2011-01-21T15:45:15,37.1,17.3,0.7,7.6643,45.4449,0.2167,38.3826,0.1997
2011-01-21T15:50:15,29.7,17.2,0.8,6.048,44.9304,0.1741,37.8335,0.1599
2011-01-21T15:55:15,44.6,17.1,0.7,9.3751,45.9236,0.2607,38.8709,0.2412
2011-01-21T16:00:15,53.1,17.3,0.6,11.0909,46.1617,0.306,39.1759,0.2831
2011-01-21T16:05:15,49.3,17.2,0.6,10.443,46.0706,0.2886,39.0711,0.2673
2011-01-21T16:10:15,51.3,17.4,0.6,10.732,46.1884,0.297,39.0912,0.2745
2011-01-21T16:15:15,35.9,17.1,0.7,7.3578,45.3922,0.2086,38.2979,0.1921
2011-01-21T16:20:15,27.2,17.0,0.8,5.5823,44.7099,0.1617,37.7597,0.1478
2011-01-21T16:25:15,39.0,17.0,0.7,8.1249,45.6322,0.2284,38.5398,0.2108
2011-01-21T16:30:15,47.0,17.2,0.6,9.7296,46.0043,0.2698,38.926,0.25
2011-01-21T16:35:15,38.9,17.2,0.7,7.9801,45.5704,0.2249,38.4855,0.2074
2011-01-21T16:40:15,20.0,17.1,1.1,3.8435,43.9355,0.1152,36.8579,0.1043
2011-01-21T16:45:15,23.7,16.9,0.9,4.5848,44.3619,0.1351,37.2649,0.123
2011-01-21T16:50:15,23.2,17.0,1.0,4.3292,44.2363,0.1281,37.1073,0.1167
2011-01-22T07:50:15,32.1,12.0,1.2,6.2063,45.707,0.1737,38.6548,0.1606
2011-01-22T07:55:15,23.4,12.1,1.5,4.1474,44.78,0.1209,37.6465,0.1102
2011-01-22T08:00:15,47.2,12.5,0.9,9.6584,46.5344,0.263,39.5534,0.2442
2011-01-22T08:05:15,45.6,12.6,1.0,8.7213,46.3588,0.2389,39.3184,0.2218
2011-01-22T08:10:15,76.8,12.5,0.8,15.6529,47.6344,0.4111,40.5693,0.3858
2011-01-22T08:30:15,94.7,15.3,0.7,19.4234,47.7371,0.5117,40.611,0.4783
2011-01-22T08:35:15,160.4,15.0,0.6,34.8232,48.9951,0.8909,41.7349,0.8344
2011-01-22T08:40:15,142.0,15.4,0.6,30.1971,48.6484,0.7769,41.4356,0.7288
2011-01-22T08:45:15,108.4,15.0,0.7,22.1221,48.0617,0.5778,40.9013,0.5409
2011-01-22T08:50:15,130.5,15.0,0.7,26.6282,48.4286,0.6867,41.2351,0.6458
2011-01-22T08:55:15,162.8,16.0,0.6,32.7931,48.7473,0.8401,41.4924,0.7903
2011-01-22T09:20:15,611.0,19.6,0.5,135.1651,51.1358,3.3172,43.0402,3.1404
2011-01-22T09:25:15,588.8,22.2,0.5,128.7951,50.7293,3.1958,42.6373,3.0207
2011-01-22T09:35:15,635.1,25.5,0.5,138.3262,50.4977,3.4607,42.3149,3.269
2011-01-22T09:45:15,723.5,23.0,0.5,158.4726,51.05,3.9274,42.721,3.7095
2011-01-22T10:00:15,154.4,22.8,0.5,32.8071,47.8575,0.8627,40.5806,0.8084
2011-01-22T10:05:15,170.2,19.6,0.5,35.4196,48.4402,0.9157,41.1844,0.86
2011-01-22T10:10:15,161.6,18.7,0.5,32.8994,48.3473,0.8494,41.1513,0.7995
2011-01-22T10:25:15,809.8,25.4,0.4,175.9918,50.8906,4.4073,42.3586,4.1548
2011-01-22T10:40:15,868.4,29.3,0.4,186.962,50.6129,4.7343,41.9703,4.4546
2011-01-22T10:45:15,869.5,28.8,0.4,186.4272,50.5517,4.7307,41.9006,4.4493
2011-01-22T10:50:15,881.7,29.8,0.4,188.858,50.553,4.795,41.8851,4.509
2011-01-22T10:55:15,906.6,31.6,0.4,192.648,50.3058,4.9384,41.5794,4.6333
2011-01-22T11:00:15,977.9,29.4,0.4,209.4526,50.7176,5.3337,41.8667,5.0028
2011-01-22T11:05:15,263.9,29.1,0.4,52.6269,47.9915,1.3806,40.5868,1.2966
2011-01-22T11:20:15,941.7,30.3,0.4,201.2162,50.5998,5.1202,41.8163,4.8119
2011-01-22T11:25:15,946.0,31.1,0.4,201.638,50.5354,5.1461,41.7412,4.8307
2011-01-22T11:30:15,948.1,31.1,0.3,202.2455,50.5302,5.1619,41.7297,4.8466
2011-01-22T11:35:15,960.7,30.9,0.4,204.5504,50.5537,5.2225,41.7304,4.9017
2011-01-22T11:40:15,966.1,29.8,0.4,206.463,50.6883,5.2542,41.8617,4.932
2011-01-22T11:45:15,970.8,30.6,0.4,206.4774,50.5029,5.2827,41.6523,4.9572
2011-01-22T11:50:15,974.0,31.2,0.4,207.0679,50.5634,5.292,41.7168,4.9637
2011-01-22T11:55:15,982.7,31.3,0.4,208.034,50.4867,5.3337,41.6122,4.9993
2011-01-22T12:00:15,1001.9,32.0,0.4,211.5986,50.4626,5.43,41.5724,5.0899
2011-01-22T12:05:15,1031.3,32.8,0.4,218.6226,50.5127,5.6144,41.5457,5.2622
2011-01-22T12:10:15,1059.3,33.3,0.4,223.0846,50.4184,5.7597,41.3993,5.3886
2011-01-22T12:15:15,1127.3,32.2,0.4,239.6355,50.7241,6.1551,41.57,5.7646
2011-01-22T12:30:15,1199.5,33.1,0.4,254.3545,50.6746,6.5705,41.3635,6.1493
2011-01-22T12:40:15,1106.4,29.2,0.4,236.4228,51.0558,6.0059,41.9654,5.6338
2011-01-22T12:55:15,1132.3,30.0,0.3,240.8228,50.9583,6.1468,41.8188,5.7587
2011-01-22T13:00:15,1029.9,32.4,0.4,217.7675,50.4567,5.5968,41.4993,5.2475
2011-01-22T13:05:15,1002.6,31.8,0.4,212.9486,50.5654,5.4588,41.6575,5.1119
2011-01-22T13:10:15,984.4,31.0,0.4,209.029,50.5478,5.3518,41.6821,5.0148
2011-01-22T13:15:15,984.9,31.0,0.4,209.741,50.6122,5.3536,41.742,5.0247
2011-01-22T13:20:15,974.4,31.3,0.4,206.7967,50.4964,5.2923,41.6371,4.9667
2011-01-22T13:25:15,984.5,31.7,0.4,208.1587,50.4112,5.3458,41.5442,5.0105
2011-01-22T13:30:15,967.4,30.0,0.4,206.2051,50.672,5.2393,41.8573,4.9264
2011-01-22T13:35:15,956.5,28.9,0.4,204.5805,50.7904,5.187,41.976,4.8737
2011-01-22T13:40:15,943.4,29.5,0.4,201.0577,50.6112,5.1189,41.8286,4.8067
2011-01-22T13:45:15,933.2,30.1,0.4,199.0058,50.5953,5.0633,41.8364,4.7568
2011-01-22T13:50:15,936.3,30.1,0.4,199.3914,50.5751,5.08,41.8078,4.7692
2011-01-22T13:55:15,930.5,31.6,0.4,197.5549,50.4067,5.0557,41.6241,4.7462
2011-01-22T14:05:15,936.8,31.9,0.4,198.4583,50.3767,5.0838,41.5916,4.7716
2011-01-22T14:10:15,900.7,30.4,0.4,191.4185,50.4587,4.8894,41.7472,4.5852
2011-01-22T14:15:15,895.5,29.1,0.4,191.3319,50.6877,4.8514,41.9914,4.5564
2011-01-22T14:20:15,880.8,28.9,0.4,187.8086,50.5953,4.7723,41.9307,4.479
2011-01-22T14:25:15,870.5,29.6,0.4,185.705,50.5315,4.7183,41.8822,4.434
2011-01-22T14:30:15,854.3,28.9,0.4,182.5802,50.5407,4.6377,41.9327,4.3541
2011-01-22T14:35:15,844.0,28.7,0.4,180.3713,50.5823,4.5695,41.9986,4.2947
2011-01-22T14:40:15,859.0,28.8,0.4,183.6893,50.5829,4.6523,41.9596,4.3778
2011-01-22T14:45:15,861.8,28.3,0.4,184.5043,50.661,4.6669,42.0369,4.3891
2011-01-22T14:50:15,857.6,28.0,0.4,183.9023,50.7111,4.6474,42.0959,4.3687
2011-01-22T14:55:15,906.9,26.7,0.4,194.7657,51.0005,4.8964,42.2972,4.6047
2011-01-22T15:20:15,776.0,24.5,0.4,167.9106,50.9058,4.1939,42.4683,3.9538
2011-01-22T15:25:15,709.3,26.4,0.4,152.2319,50.5094,3.8291,42.2109,3.6065
2011-01-22T15:30:15,684.1,25.9,0.4,146.688,50.5211,3.6832,42.2588,3.4712
2011-01-22T15:35:15,670.6,26.2,0.4,143.6474,50.4515,3.6067,42.2138,3.4029
2011-01-22T15:40:15,650.4,25.4,0.4,139.3047,50.4763,3.4915,42.294,3.2937
2011-01-22T15:45:15,619.8,25.6,0.4,132.622,50.3618,3.329,42.2335,3.1402
2011-01-22T15:50:15,604.1,25.0,0.4,129.0619,50.4158,3.2318,42.3032,3.0509
2011-01-22T15:55:15,585.9,23.5,0.4,125.2604,50.5198,3.1234,42.4723,2.9492
2011-01-22T16:00:15,567.7,23.4,0.4,120.9675,50.445,3.0163,42.4332,2.8508
2011-01-22T16:05:15,544.2,23.0,0.4,116.0627,50.419,2.8899,42.4626,2.7333
2011-01-22T16:10:15,520.8,22.7,0.4,110.6735,50.3266,2.7613,42.3997,2.6102
2011-01-22T16:15:15,498.8,22.6,0.4,106.091,50.3221,2.6432,42.4394,2.4998
2011-01-22T16:20:15,479.0,22.9,0.4,101.17,50.1699,2.527,42.3465,2.3891
2011-01-22T16:25:15,453.8,21.9,0.4,95.8385,50.1959,2.3887,42.4026,2.2602
2011-01-22T16:30:15,433.6,21.3,0.4,91.0928,50.1501,2.2706,42.4143,2.1477
2011-01-22T16:35:15,412.7,21.1,0.4,86.2609,50.0804,2.1514,42.3679,2.036
2011-01-22T16:40:15,386.3,20.8,0.4,80.2783,49.9564,2.0072,42.2928,1.8982
