Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2011-01-21T08:15:19,35.6,19.4,5.9,1.2563,51.0668,0.0422,38.878,0.0323
2011-01-21T08:25:19,20.6,19.5,9.7,0.6624,48.4192,0.0249,35.9189,0.0184
2011-01-21T08:35:19,29.6,19.5,6.6,1.0741,50.3511,0.0376,37.8984,0.0283
2011-01-21T09:10:19,31.3,19.3,6.0,1.1833,50.8017,0.0403,38.4162,0.0308
2011-01-21T09:15:19,50.0,19.9,3.9,2.0072,52.4773,0.064,40.308,0.0498
2011-01-21T09:20:19,34.5,20.0,5.5,1.3185,51.0298,0.0447,38.7471,0.034
2011-01-21T09:25:19,38.2,20.0,5.1,1.4662,51.4409,0.0486,39.2091,0.0374
2011-01-21T09:30:19,46.2,19.7,4.3,1.7931,52.1578,0.0578,39.9659,0.0449
2011-01-21T09:35:19,50.0,19.9,4.0,1.9976,52.4624,0.0639,40.3018,0.0496
2011-01-21T09:40:19,43.6,19.7,4.5,1.7262,52.0282,0.056,39.9132,0.0432
2011-01-21T09:45:19,53.9,19.5,3.6,2.2645,52.9224,0.071,40.7552,0.0556
2011-01-21T09:50:19,41.0,19.5,4.5,1.7323,51.9801,0.0563,39.7203,0.0436
2011-01-21T10:00:19,59.7,18.8,3.1,2.7261,53.7901,0.083,41.6146,0.0655
2011-01-21T10:05:19,60.9,19.1,3.1,2.6476,53.6016,0.081,41.5482,0.0637
2011-01-21T10:10:19,98.5,19.2,2.0,4.4332,55.1965,0.1286,43.1276,0.1028
2011-01-21T10:15:19,95.8,19.6,2.1,4.1509,54.9155,0.121,42.9562,0.0966
2011-01-21T10:20:19,97.0,20.2,2.2,4.0148,54.6807,0.1172,42.7853,0.0938
2011-01-21T10:25:19,128.5,20.9,1.7,5.453,55.4408,0.1559,43.4632,0.1255
2011-01-21T10:30:19,169.1,21.4,1.4,7.1205,56.1066,0.1994,44.0336,0.1617
2011-01-21T10:35:19,189.0,21.9,1.3,7.9633,56.2983,0.2226,44.1041,0.1806
2011-01-21T10:40:19,189.6,22.5,1.3,7.8444,56.0883,0.2198,43.9212,0.1786
2011-01-21T10:45:19,155.7,23.5,1.5,6.249,55.2693,0.1781,43.3721,0.1441
2011-01-21T10:55:18,271.6,24.8,1.0,11.2982,56.7405,0.3143,44.0968,0.2562
2011-01-21T11:00:18,203.6,26.1,1.2,8.2709,55.5353,0.2341,43.4468,0.1904
2011-01-21T11:05:19,239.9,26.7,1.0,9.7663,55.8837,0.2751,43.5874,0.2241
2011-01-21T11:10:18,230.2,27.3,1.1,9.3464,55.6075,0.2648,43.3727,0.2155
2011-01-21T11:15:19,206.9,27.2,1.1,8.5094,55.3146,0.2415,43.2562,0.1967
2011-01-21T11:20:18,274.6,27.7,0.9,11.3447,56.0835,0.3183,43.6612,0.2598
2011-01-21T11:25:19,132.1,27.8,1.6,5.2495,53.7791,0.1544,42.1739,0.1245
2011-01-21T11:30:19,228.0,27.1,1.0,9.3859,55.6692,0.2639,43.5102,0.2157
2011-01-21T11:35:19,251.8,28.3,1.0,10.323,55.6875,0.2903,43.5008,0.2373
2011-01-21T11:40:19,255.8,28.2,0.9,10.6744,55.7366,0.3009,43.4526,0.2457
2011-01-21T11:45:19,180.2,28.1,1.2,7.5298,54.752,0.2161,42.8408,0.1758
2011-01-21T11:50:18,229.7,27.5,1.0,9.8151,55.7414,0.2766,43.503,0.2256
2011-01-21T11:55:18,236.2,26.3,1.0,10.1387,56.1037,0.2848,43.721,0.2319
2011-01-21T12:00:19,172.0,25.4,1.2,7.3237,55.384,0.2086,43.3085,0.1691
2011-01-21T12:05:19,163.1,25.1,1.3,6.8966,55.2751,0.1971,43.2458,0.1595
2011-01-21T12:10:19,221.4,24.4,1.0,9.555,56.4293,0.2668,44.0194,0.2171
2011-01-21T12:15:19,267.7,24.2,0.9,11.6586,57.0007,0.3234,44.2511,0.2635
2011-01-21T12:20:18,294.5,25.0,0.8,12.5817,57.0546,0.3496,44.2402,0.2844
