Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2011-01-21T08:15:06,35.1,19.0,4.0,2.4444,19.806,0.1929,15.8504,0.1542
2011-01-21T08:25:06,21.0,19.0,6.2,1.381,19.0003,0.1177,15.1558,0.0911
2011-01-21T08:35:06,29.8,19.1,4.4,2.1752,19.6134,0.1712,15.572,0.1397
2011-01-21T09:10:06,29.7,18.9,4.3,2.1936,19.6544,0.1732,15.6619,0.1401
2011-01-21T09:15:06,51.8,19.7,2.6,4.0484,20.4203,0.3001,16.2195,0.2496
2011-01-21T09:20:06,34.9,19.7,3.7,2.6413,19.8314,0.2054,15.7939,0.1672
2011-01-21T09:25:06,37.8,19.6,3.5,2.8489,19.9545,0.2201,15.9064,0.1791
2011-01-21T09:30:06,45.5,19.3,3.0,3.455,20.2453,0.2591,16.1007,0.2146
2011-01-21T09:35:06,51.6,19.6,2.6,4.0404,20.4418,0.2996,16.244,0.2487
2011-01-21T09:40:06,42.5,19.2,3.1,3.2964,20.1964,0.2487,16.0787,0.205
2011-01-21T09:45:06,54.0,18.9,2.5,4.4097,20.6305,0.3226,16.4029,0.2688
2011-01-21T09:50:06,41.7,19.2,3.0,3.4213,20.2563,0.2571,16.1422,0.2119
2011-01-21T09:55:06,20.2,18.6,5.7,1.5764,19.256,0.1317,15.4259,0.1022
2011-01-21T10:00:06,58.7,18.1,2.2,5.0004,20.8973,0.3605,16.6606,0.3001
2011-01-21T10:05:06,59.5,18.7,2.2,4.8877,20.7951,0.3548,16.5702,0.295
2011-01-21T10:10:06,98.6,18.9,1.5,8.2128,21.5032,0.5725,17.0729,0.481
2011-01-21T10:15:06,96.1,19.2,1.5,7.7624,21.3958,0.5444,17.0208,0.4561
2011-01-21T10:20:06,95.2,20.1,1.6,7.3514,21.2481,0.5196,16.9164,0.4346
2011-01-21T10:25:06,130.1,20.9,1.2,10.1619,21.6242,0.7042,17.1456,0.5927
2011-01-21T10:30:06,167.4,21.4,1.1,12.9196,21.9151,0.8833,17.341,0.745
2011-01-21T10:35:06,185.7,21.4,1.0,14.392,22.0555,0.9794,17.3962,0.8273
2011-01-21T10:40:06,185.2,21.5,1.0,14.2909,22.0485,0.9726,17.3844,0.8221
2011-01-21T10:45:06,155.6,21.4,1.1,11.7934,21.7973,0.8121,17.2413,0.684
2011-01-21T10:55:06,258.7,22.0,0.8,20.1475,22.4546,1.3558,17.5865,1.1456
2011-01-21T11:00:06,202.9,23.2,0.9,15.456,21.9769,1.0579,17.2717,0.8949
2011-01-21T11:05:06,241.6,24.0,0.8,18.4265,22.1305,1.2565,17.3479,1.0622
