Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2011-01-21T08:15:03,35.0,18.9,2.7,1.1342,18.2869,0.0986,13.8783,0.0817
2011-01-21T08:25:03,21.0,19.0,4.1,0.6151,17.2398,0.0599,12.6528,0.0486
2011-01-21T08:35:03,29.9,19.0,2.9,0.9888,18.0554,0.0877,13.6014,0.0727
2011-01-21T09:10:03,29.3,18.9,2.9,0.9709,18.0394,0.0863,13.589,0.0714
2011-01-21T09:15:03,52.3,19.5,1.8,1.9691,19.0645,0.1573,14.8798,0.1323
2011-01-21T09:20:03,35.0,19.5,2.5,1.2219,18.3598,0.1053,13.9487,0.0876
2011-01-21T09:25:03,37.7,19.5,2.4,1.3228,18.4864,0.1125,14.1093,0.0938
2011-01-21T09:30:03,45.1,19.1,2.0,1.6351,18.827,0.1338,14.5593,0.1123
2011-01-21T09:35:03,52.2,19.4,1.8,1.9673,19.069,0.1571,14.9185,0.1319
2011-01-21T09:40:03,42.1,19.0,2.1,1.5277,18.7358,0.1266,14.4182,0.106
2011-01-21T09:45:03,54.2,18.7,1.7,2.1031,19.2057,0.1653,15.0479,0.1398
2011-01-21T09:50:03,41.8,18.9,2.1,1.5662,18.7761,0.1291,14.4864,0.1081
2011-01-21T09:55:03,20.2,18.6,4.1,0.6341,17.3023,0.0611,12.7319,0.0498
2011-01-21T10:00:03,58.3,18.2,1.6,2.2825,19.3581,0.1769,15.255,0.1496
2011-01-21T10:05:03,59.1,18.7,1.6,2.2712,19.317,0.1764,15.191,0.1495
2011-01-21T10:10:03,98.5,18.9,1.1,4.0976,20.0413,0.2926,16.2014,0.2529
2011-01-21T10:15:03,96.3,19.2,1.1,3.8885,19.9465,0.2801,16.089,0.2417
2011-01-21T10:20:03,94.8,20.0,1.1,3.6896,19.8476,0.268,15.9628,0.2311
2011-01-21T10:25:03,130.4,20.7,0.9,5.2823,20.2167,0.3674,16.4825,0.3205
2011-01-21T10:30:03,166.8,21.3,0.8,6.8176,20.4602,0.4608,16.8018,0.4058
2011-01-21T10:35:03,184.7,21.7,0.8,7.635,20.5435,0.5102,16.9257,0.4511
2011-01-21T10:40:03,183.8,21.8,0.8,7.5684,20.5168,0.5067,16.8904,0.4481
2011-01-21T10:45:03,155.9,21.7,0.9,6.1818,20.2892,0.4246,16.5955,0.3725
2011-01-21T10:55:03,255.0,22.6,0.7,10.9172,20.8533,0.7051,17.267,0.6323
2011-01-21T11:00:03,202.6,23.4,0.7,8.3039,20.4888,0.5552,16.8856,0.4918
2011-01-21T11:05:03,242.4,24.2,0.7,10.1099,20.6457,0.6647,17.068,0.5923
2011-01-21T11:10:03,234.8,25.0,0.7,9.8223,20.5689,0.6488,16.9883,0.5782
2011-01-21T11:15:03,202.9,24.9,0.7,8.4148,20.4042,0.5642,16.8106,0.5006
2011-01-21T11:20:03,272.9,25.7,0.7,11.5405,20.6912,0.7524,17.1304,0.6737
2011-01-21T11:25:03,135.4,25.7,0.9,5.2543,19.8307,0.3742,16.1345,0.3257
2011-01-21T11:30:03,215.4,24.9,0.7,8.8383,20.4595,0.589,16.8765,0.5237
2011-01-21T11:35:03,256.8,26.6,0.7,10.6066,20.5402,0.7,16.9742,0.6249
2011-01-21T11:40:03,259.8,26.8,0.7,10.915,20.55,0.7188,16.9757,0.643
2011-01-21T11:45:03,180.5,26.1,0.7,7.4585,20.2004,0.5099,16.579,0.4499
2011-01-21T11:50:03,224.8,25.8,0.7,9.5981,20.5064,0.636,16.9247,0.5671
2011-01-21T11:55:03,238.5,24.7,0.7,10.3643,20.6431,0.6803,17.0682,0.6072
