Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2011-01-21T08:15:12,35.3,18.9,0.7,2.5091,19.0022,0.1867,15.517,0.1617
2011-01-21T08:25:12,20.8,19.0,1.0,1.3724,18.3137,0.1115,14.6498,0.0937
2011-01-21T08:35:12,29.7,19.0,0.8,2.1675,18.8356,0.1648,15.313,0.1415
2011-01-21T09:10:12,30.4,18.8,0.7,2.2344,18.8863,0.1687,15.3692,0.1454
2011-01-21T09:15:12,51.0,19.4,0.5,4.0801,19.4955,0.2878,16.0961,0.2535
2011-01-21T09:20:12,34.8,19.5,0.7,2.64,19.023,0.1964,15.5404,0.1699
2011-01-21T09:25:12,37.9,19.4,0.6,2.8972,19.1258,0.2128,15.6717,0.1849
2011-01-21T09:30:12,45.9,19.2,0.6,3.5733,19.3679,0.2552,15.9434,0.2241
2011-01-21T09:35:12,50.9,19.4,0.5,4.079,19.4929,0.2872,16.107,0.2532
2011-01-21T09:40:12,43.0,19.1,0.6,3.3686,19.312,0.2422,15.8817,0.2121
2011-01-21T09:45:12,54.0,18.9,0.5,4.4506,19.6218,0.3101,16.2412,0.274
2011-01-21T09:50:12,41.5,19.0,0.6,3.3311,19.3074,0.2402,15.867,0.2099
2011-01-21T09:55:12,20.1,18.7,1.0,1.4094,18.365,0.1143,14.6986,0.0959
2011-01-21T10:00:12,59.2,18.1,0.5,4.8942,19.7949,0.3363,16.4066,0.2983
2011-01-21T10:05:12,60.2,18.6,0.5,4.8883,19.7474,0.3367,16.3849,0.2983
2011-01-21T10:10:12,98.6,18.7,0.4,8.4124,20.296,0.5498,16.9555,0.4961
2011-01-21T10:15:12,95.9,19.0,0.4,7.9605,20.2134,0.5239,16.8674,0.4719
2011-01-21T10:20:12,95.9,19.6,0.4,7.7184,20.1437,0.5099,16.803,0.4593
2011-01-21T10:25:12,129.4,20.3,0.4,10.6095,20.4112,0.6836,17.0682,0.6216
2011-01-21T10:30:12,168.2,20.8,0.3,13.7398,20.6195,0.8702,17.26,0.796
2011-01-21T10:35:12,187.2,21.1,0.3,15.3961,20.7087,0.9679,17.3285,0.8885
2011-01-21T10:40:12,186.9,21.3,0.3,15.3232,20.6846,0.9642,17.3091,0.8853
2011-01-21T10:45:12,155.6,21.5,0.4,12.4315,20.4672,0.7954,17.1204,0.7261
2011-01-21T10:55:12,264.4,22.1,0.3,22.1421,20.9716,1.3704,17.504,1.265
2011-01-21T11:00:12,203.3,23.5,0.3,16.4276,20.5784,1.0403,17.1921,0.9555
2011-01-21T11:05:12,240.8,24.2,0.3,19.6404,20.7099,1.2353,17.2682,1.1374
2011-01-21T11:10:12,233.5,24.8,0.3,19.0677,20.639,1.2041,17.2114,1.1079
2011-01-21T11:15:12,205.1,25.0,0.3,16.7765,20.5023,1.0687,17.1054,0.9808
2011-01-21T11:20:12,274.5,25.7,0.3,22.5307,20.7483,1.4158,17.2653,1.305
2011-01-21T11:25:12,133.5,25.9,0.4,10.4554,19.9758,0.6914,16.6426,0.6282
2011-01-21T11:30:12,222.3,25.3,0.3,17.9616,20.5563,1.1405,17.1435,1.0477
2011-01-21T11:35:12,254.1,26.8,0.3,20.3892,20.5642,1.2952,17.1199,1.191
2011-01-21T11:40:12,257.6,27.1,0.3,21.036,20.5713,1.3363,17.112,1.2293
2011-01-21T11:45:12,180.3,26.8,0.3,14.7442,20.2453,0.9549,16.8746,0.8738
2011-01-21T11:50:12,227.4,26.2,0.3,19.0084,20.542,1.2083,17.1106,1.1109
2011-01-21T11:55:12,237.4,25.3,0.3,20.1146,20.6611,1.2701,17.2182,1.1682
2011-01-21T12:00:12,172.9,24.1,0.3,14.6011,20.4412,0.935,17.0716,0.8553
2011-01-21T12:05:12,165.1,23.3,0.3,13.9055,20.4386,0.8918,17.0637,0.8149
2011-01-21T12:10:12,219.1,23.0,0.3,18.742,20.7431,1.1772,17.3258,1.0817
2011-01-21T12:15:12,261.1,23.4,0.3,22.6845,20.9117,1.4105,17.444,1.3004
2011-01-21T12:20:12,293.0,24.1,0.3,25.2368,20.9657,1.5663,17.4543,1.4459
2011-01-21T12:25:12,300.9,24.2,0.3,25.2018,20.9508,1.5659,17.446,1.4446
2011-01-21T12:30:12,244.9,23.6,0.3,20.3841,20.7889,1.277,17.3469,1.1751
2011-01-21T12:35:12,274.5,23.5,0.3,22.5573,20.8974,1.4034,17.4241,1.2946
2011-01-21T12:40:12,598.0,27.2,0.3,49.3698,21.3891,3.0545,17.5046,2.8204
2011-01-21T12:45:12,459.9,29.5,0.3,38.0089,20.9906,2.383,17.2671,2.2012
2011-01-21T12:50:12,313.8,30.4,0.3,25.2649,20.544,1.6128,17.0178,1.4846
2011-01-21T12:55:12,444.3,32.4,0.3,35.35,20.7191,2.2531,17.0269,2.0761
2011-01-21T13:00:12,279.2,31.9,0.3,22.7228,20.3221,1.4673,16.8246,1.3506
2011-01-21T13:05:12,153.5,29.5,0.3,12.0082,19.8404,0.8006,16.505,0.7275
2011-01-21T13:10:12,73.7,26.6,0.4,5.4433,19.2534,0.3828,15.9374,0.3415
2011-01-21T13:15:12,123.2,24.8,0.4,9.6357,19.9641,0.6386,16.64,0.5791
2011-01-21T13:20:12,164.8,24.6,0.3,13.2986,20.2986,0.8589,16.9368,0.7852
2011-01-21T13:25:12,247.8,24.7,0.3,20.3527,20.6943,1.2818,17.2467,1.1801
2011-01-21T13:30:12,183.4,24.1,0.3,14.8613,20.4268,0.9492,17.0476,0.8718
2011-01-21T13:35:12,189.2,24.4,0.3,15.6489,20.4529,1.0027,17.0575,0.9174
2011-01-21T13:40:12,120.8,22.6,0.4,9.8322,20.1157,0.6459,16.7763,0.5861
2011-01-21T13:45:12,108.7,21.9,0.4,8.7513,20.0624,0.5789,16.7287,0.5231
2011-01-21T13:50:12,83.6,21.1,0.4,6.7152,19.8658,0.4538,16.5252,0.4064
