Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2012-12-21T09:00:11,22.4,6.0,1.0,0.7598,17.0322,0.1578,9.1399,0.0831
2012-12-21T09:05:11,25.1,5.7,0.9,0.9431,18.5405,0.1766,10.0591,0.0938
2012-12-21T09:10:11,38.3,5.7,0.7,1.9202,23.8073,0.2603,13.347,0.1439
2012-12-21T09:15:11,46.9,5.6,0.9,2.6806,26.3174,0.3137,15.2438,0.1758
2012-12-21T09:20:11,57.3,5.8,0.8,3.7262,28.7155,0.3787,17.2831,0.2156
2012-12-21T09:25:11,58.2,6.1,0.9,3.6837,28.6101,0.3765,17.1461,0.2148
2012-12-21T09:30:11,72.7,6.5,0.8,5.3075,31.0805,0.4665,19.3597,0.2742
2012-12-21T09:35:11,70.5,6.7,0.8,4.8441,30.4718,0.442,18.7595,0.2582
2012-12-21T09:40:11,64.0,6.8,0.8,4.086,29.3242,0.3997,17.7834,0.2298
2012-12-21T09:45:11,65.7,7.0,0.8,4.3751,29.7753,0.4159,18.173,0.2407
2012-12-21T09:50:11,121.9,8.2,0.7,12.0157,35.5837,0.779,24.1341,0.4979
2012-12-21T09:55:11,116.1,9.0,0.7,11.0498,35.0884,0.7392,23.5806,0.4686
2012-12-21T10:00:11,201.1,10.2,0.6,24.3272,38.3634,1.2774,27.5129,0.8842
2012-12-21T10:05:11,248.3,11.9,0.6,33.0964,39.2193,1.6038,28.6043,1.157
2012-12-21T10:10:11,127.5,13.1,0.7,12.4411,35.2443,0.8069,23.9815,0.5188
2012-12-21T10:15:11,141.4,11.6,0.6,15.0423,36.2644,0.9113,25.0851,0.5997
2012-12-21T10:20:11,185.4,11.4,0.6,21.744,37.8556,1.1768,26.9366,0.8072
2012-12-21T10:25:11,116.4,10.6,0.7,10.6927,34.7766,0.7256,23.3193,0.4585
2012-12-21T10:30:11,101.0,9.7,0.7,8.641,33.7422,0.6308,22.1615,0.3899
2012-12-21T10:35:11,152.6,9.6,0.6,16.8185,37.0211,0.9785,25.8567,0.6505
2012-12-21T10:40:11,173.9,10.8,0.6,20.2505,37.6082,1.1185,26.6283,0.7605
2012-12-21T10:45:11,154.3,11.3,0.6,17.1473,36.9032,0.995,25.8128,0.6643
2012-12-21T10:50:11,127.0,11.7,0.6,12.7006,35.5304,0.814,24.2165,0.5245
2012-12-21T10:55:11,108.5,11.1,0.7,10.1246,34.4615,0.7015,22.9595,0.441
2012-12-21T11:00:11,100.9,10.7,0.7,9.0288,33.875,0.6519,22.3633,0.4037
2012-12-21T11:05:11,86.4,10.3,0.7,7.189,32.6388,0.5649,20.9766,0.3427
2012-12-21T11:10:11,94.8,10.1,0.7,8.3086,33.4974,0.6177,21.8857,0.3796
2012-12-21T11:15:11,56.6,8.9,0.8,3.664,28.3985,0.3771,17.0402,0.215
2012-12-21T11:20:11,73.3,8.6,0.7,5.868,31.5823,0.4972,19.8642,0.2954
2012-12-21T11:25:11,69.0,8.2,0.7,5.3436,31.0349,0.4695,19.3037,0.2768
2012-12-21T11:30:11,111.3,8.4,0.7,11.3672,35.3735,0.7514,23.8199,0.4772
2012-12-21T11:35:11,115.3,8.8,0.7,11.7565,35.5334,0.7675,24.0203,0.4894
2012-12-21T11:40:11,154.8,9.3,0.6,18.1227,37.4526,1.0274,26.3162,0.6886
2012-12-21T11:45:11,166.5,9.4,0.6,20.0711,37.8673,1.1045,26.8286,0.7481
2012-12-21T11:50:11,138.3,9.7,0.6,14.7193,36.5295,0.892,25.2055,0.584
2012-12-21T11:55:11,126.0,9.8,0.7,12.6958,35.839,0.8091,24.4095,0.5201
2012-12-21T12:00:11,129.6,9.8,0.6,13.2519,36.0062,0.8334,24.6203,0.5383
2012-12-21T12:05:11,115.1,9.8,0.7,11.2957,35.2472,0.7504,23.7139,0.4763
