Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2012-12-20T10:40:18,22.7,5.1,9.9,1.1123,75.5,0.031,52.3741,0.0212
2012-12-20T10:45:18,31.3,5.2,7.3,1.6874,78.4463,0.042,56.5342,0.0298
2012-12-20T10:50:18,33.8,5.3,6.9,1.8454,79.0086,0.0449,57.3973,0.0322
2012-12-20T10:55:18,29.7,5.3,7.9,1.553,77.9258,0.0395,55.6642,0.0279
2012-12-20T11:00:18,32.7,5.3,7.3,1.7477,78.609,0.0431,56.9492,0.0307
2012-12-20T11:05:18,35.2,5.3,6.8,1.9195,79.2549,0.0462,57.7559,0.0332
2012-12-20T11:10:18,33.2,5.3,7.2,1.7951,78.8554,0.044,57.1592,0.0314
2012-12-20T11:15:18,37.6,5.3,6.2,2.1354,79.8553,0.0501,58.7299,0.0364
2012-12-20T11:20:18,39.1,5.3,5.9,2.2439,80.1729,0.0521,59.1603,0.0379
2012-12-20T11:25:18,37.9,5.5,6.2,2.1614,79.9475,0.0506,58.9636,0.0367
2012-12-20T11:30:18,37.6,5.6,6.3,2.1272,79.8331,0.05,58.6465,0.0363
2012-12-20T11:35:18,33.2,5.7,7.1,1.8257,78.8789,0.0446,57.2356,0.0319
2012-12-20T11:40:18,31.8,5.8,7.4,1.7202,78.4269,0.0427,56.6903,0.0303
2012-12-20T11:45:18,29.1,5.8,7.9,1.5614,77.8643,0.0397,55.7846,0.028
2012-12-20T11:50:18,30.5,5.8,7.4,1.6538,78.2613,0.0414,56.3053,0.0294
2012-12-20T11:55:18,35.0,5.8,6.5,1.9844,79.415,0.0474,58.0166,0.0342
2012-12-20T12:00:18,35.7,5.8,6.4,2.0195,79.5002,0.0481,58.1598,0.0347
2012-12-20T12:05:18,30.7,5.9,7.5,1.6688,78.3357,0.0417,56.3471,0.0296
2012-12-20T12:10:18,31.3,5.7,7.3,1.7342,78.5901,0.0429,56.7238,0.0306
2012-12-20T12:15:18,27.2,5.6,8.4,1.4319,77.3189,0.0373,54.8982,0.0261
2012-12-20T12:20:18,24.6,5.6,9.0,1.2781,76.5075,0.0343,53.7504,0.0238
2012-12-20T12:25:18,24.0,5.6,9.0,1.2504,76.3791,0.0339,53.3908,0.0234
2012-12-20T12:30:18,24.5,5.6,9.1,1.2636,76.4197,0.0341,53.6352,0.0236
2012-12-20T12:35:18,24.3,5.6,9.2,1.2478,76.3354,0.0337,53.5793,0.0233
2012-12-20T12:40:18,25.2,5.6,8.9,1.3291,76.6817,0.0353,54.1708,0.0245
2012-12-20T12:45:18,25.0,5.5,8.8,1.306,76.677,0.035,53.8918,0.0242
2012-12-20T12:55:18,22.6,5.2,9.5,1.1799,76.0217,0.0324,52.9237,0.0223
2012-12-20T13:05:18,20.5,5.0,10.7,1.0253,74.9438,0.0293,51.3931,0.0199
2012-12-20T13:10:18,21.6,4.9,9.9,1.107,75.5643,0.031,52.3271,0.0212
2012-12-20T13:15:18,21.6,4.9,9.9,1.1054,75.5621,0.0309,52.371,0.0211
2012-12-20T13:20:18,20.4,4.9,10.5,1.0166,74.8781,0.0292,51.3386,0.0198
2012-12-20T13:25:18,21.3,4.9,10.1,1.0889,75.3994,0.0306,52.1135,0.0209
2012-12-20T13:55:18,25.3,4.3,8.8,1.3183,76.9916,0.0349,54.0808,0.0244
2012-12-20T14:00:18,37.0,4.5,6.3,2.0545,79.8792,0.0487,58.5327,0.0351
2012-12-20T14:05:18,27.5,4.5,8.5,1.3965,77.3644,0.0365,54.7341,0.0255
2012-12-20T14:10:18,37.0,4.8,6.5,2.035,79.751,0.0483,58.3913,0.0349
2012-12-20T14:15:18,32.4,4.7,7.4,1.7157,78.6659,0.0424,56.6969,0.0303
2012-12-20T14:20:19,29.4,4.9,8.0,1.4747,77.6942,0.038,55.3747,0.0266
2012-12-20T14:25:19,31.5,5.0,7.6,1.5938,78.2086,0.0403,55.9322,0.0285
2012-12-20T14:30:19,33.4,5.2,7.2,1.7691,78.8318,0.0436,57.0119,0.031
2012-12-20T14:35:20,25.8,5.1,9.3,1.2557,76.5004,0.0339,53.6229,0.0234
2012-12-20T14:40:19,28.9,5.1,8.3,1.4346,77.4502,0.0373,54.9103,0.0261
2012-12-20T14:45:19,24.2,5.1,9.7,1.1298,75.5967,0.0314,52.3876,0.0216
2012-12-20T14:50:20,21.0,5.1,11.1,0.9389,74.1457,0.0277,50.4676,0.0186
2012-12-21T09:00:20,22.4,6.5,10.8,0.9701,74.0317,0.0283,50.7355,0.0191
2012-12-21T09:05:19,25.4,6.3,9.6,1.151,75.4246,0.032,52.4517,0.0219
2012-12-21T09:10:19,38.5,6.3,6.7,1.943,79.0338,0.0468,57.6669,0.0337
2012-12-21T09:15:19,47.0,6.2,5.6,2.484,80.4301,0.0564,59.8817,0.0415
2012-12-21T09:20:19,57.7,6.4,4.7,3.1797,81.7048,0.0684,61.724,0.0515
2012-12-21T09:25:19,58.4,6.7,4.6,3.2047,81.7317,0.0689,61.7969,0.0519
2012-12-21T09:30:19,73.1,7.1,3.7,4.1859,82.9738,0.0855,63.3211,0.0661
2012-12-21T09:35:19,70.2,7.3,3.9,3.928,82.6382,0.0812,62.985,0.0624
