Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2012-12-20T10:40:12,22.7,5.2,1.2,4.8606,45.7604,0.1371,38.6635,0.1257
2012-12-20T10:45:12,31.2,5.3,0.9,6.8709,46.4759,0.1888,39.4739,0.1741
2012-12-20T10:50:12,33.9,5.4,0.9,7.4673,46.6366,0.2043,39.6427,0.1884
2012-12-20T10:55:12,29.6,5.3,1.0,6.4365,46.3217,0.1779,39.323,0.1637
2012-12-20T11:00:12,32.7,5.4,0.9,7.1382,46.5357,0.1959,39.5477,0.1805
2012-12-20T11:05:12,35.5,5.3,0.9,7.7699,46.7114,0.2115,39.7269,0.1956
2012-12-20T11:10:12,33.6,5.4,0.9,7.327,46.5377,0.201,39.5958,0.185
2012-12-20T11:15:12,37.6,5.3,0.8,8.3856,46.8141,0.2272,39.9109,0.2101
2012-12-20T11:20:12,39.1,5.4,0.8,8.7594,46.954,0.2366,40.005,0.219
2012-12-20T11:25:12,37.7,5.6,0.8,8.4203,46.8532,0.2282,39.8883,0.2111
2012-12-20T11:30:12,37.7,5.7,0.8,8.3978,46.8284,0.2279,39.8828,0.2106
2012-12-20T11:35:12,33.1,5.8,0.9,7.3451,46.4908,0.2011,39.5764,0.1856
2012-12-20T11:40:12,32.0,5.9,0.9,7.0216,46.4297,0.1933,39.4766,0.1779
2012-12-20T11:45:12,29.1,5.9,1.0,6.3981,46.245,0.1772,39.2764,0.1629
2012-12-20T11:50:12,30.6,5.9,0.9,6.7383,46.3529,0.1864,39.3487,0.1712
2012-12-20T11:55:12,34.6,5.9,0.9,7.7161,46.6326,0.2108,39.6663,0.1945
2012-12-20T12:00:12,35.5,5.8,0.9,7.8884,46.658,0.2147,39.6955,0.1987
2012-12-20T12:05:12,30.7,5.8,1.0,6.7432,46.3605,0.1859,39.3098,0.1715
2012-12-20T12:10:12,31.3,5.7,0.9,6.9548,46.4121,0.192,39.4347,0.1764
2012-12-20T12:15:12,27.1,5.7,1.0,5.8992,46.0986,0.1646,39.0666,0.151
2012-12-20T12:20:12,24.5,5.7,1.1,5.3076,45.8378,0.1491,38.8594,0.1366
2012-12-20T12:25:12,24.1,5.7,1.1,5.2233,45.8416,0.1475,38.8146,0.1346
2012-12-20T12:30:12,24.6,5.7,1.1,5.2929,45.8722,0.1489,38.8291,0.1363
2012-12-20T12:35:12,24.3,5.7,1.1,5.2333,45.8495,0.1476,38.8164,0.1348
2012-12-20T12:40:12,24.9,5.7,1.1,5.4174,45.9119,0.152,38.854,0.1394
2012-12-20T12:45:12,24.9,5.6,1.1,5.4071,45.8729,0.1519,38.8923,0.139
2012-12-20T12:55:12,22.3,5.3,1.2,4.8052,45.72,0.136,38.6468,0.1243
2012-12-20T13:05:12,20.5,5.1,1.3,4.3953,45.5509,0.1257,38.468,0.1143
2012-12-20T13:10:12,21.6,5.1,1.2,4.6569,45.6875,0.132,38.5929,0.1207
2012-12-20T13:15:12,21.2,5.1,1.2,4.5644,45.6543,0.1298,38.5839,0.1183
2012-12-20T13:20:12,20.4,5.1,1.2,4.3335,45.5093,0.1238,38.4419,0.1127
2012-12-20T13:25:12,21.4,5.0,1.2,4.6271,45.6804,0.1312,38.6042,0.1199
2012-12-20T13:55:12,24.7,4.5,1.1,5.439,46.1106,0.1521,39.0665,0.1392
2012-12-20T14:00:12,37.5,4.7,0.8,8.2775,46.9488,0.224,39.9868,0.207
2012-12-20T14:05:12,27.3,4.6,1.0,5.9465,46.2586,0.1647,39.2241,0.1516
2012-12-20T14:10:12,37.4,4.9,0.9,8.3272,46.9169,0.2255,39.9471,0.2085
2012-12-20T14:15:12,32.2,4.7,0.9,7.1303,46.6079,0.1951,39.6322,0.1799
2012-12-20T14:20:12,29.8,4.8,1.0,6.4645,46.3965,0.1784,39.4079,0.164
2012-12-20T14:25:12,31.4,5.0,0.9,6.7837,46.4882,0.1867,39.4988,0.1717
2012-12-20T14:30:12,33.4,5.1,0.9,7.4364,46.645,0.2031,39.6894,0.1874
2012-12-20T14:35:12,25.6,5.1,1.1,5.5677,46.0576,0.1557,39.0336,0.1426
2012-12-20T14:40:12,29.0,5.0,1.0,6.2923,46.3146,0.1739,39.3063,0.1601
2012-12-20T14:45:12,24.3,5.1,1.1,5.1888,45.9113,0.1455,38.8692,0.1335
2012-12-20T14:50:12,21.0,5.1,1.2,4.4838,45.5933,0.128,38.4676,0.1166
2012-12-21T09:00:12,22.4,6.8,1.2,4.7491,45.4703,0.1353,38.434,0.1236
2012-12-21T09:05:12,25.2,6.5,1.1,5.3965,45.7786,0.1515,38.7006,0.1394
2012-12-21T09:10:12,38.4,6.5,0.9,8.2031,46.6528,0.2231,39.6936,0.2067
2012-12-21T09:15:12,46.9,6.3,0.8,10.0077,47.0554,0.2684,40.1363,0.2493
2012-12-21T09:20:12,57.4,6.5,0.7,12.2466,47.4236,0.3239,40.5635,0.3019
2012-12-21T09:25:12,58.2,6.7,0.7,12.1762,47.3846,0.3226,40.5121,0.3006
2012-12-21T09:30:12,72.8,7.0,0.7,15.2799,47.8471,0.3993,40.9357,0.3733
2012-12-21T09:35:12,70.4,7.2,0.7,14.4049,47.6792,0.3783,40.7819,0.3532
2012-12-21T09:40:12,64.0,7.3,0.7,12.9673,47.477,0.3429,40.5638,0.3197
2012-12-21T09:45:12,65.8,7.6,0.7,13.5453,47.5244,0.3566,40.6148,0.3335
2012-12-21T09:50:12,121.5,8.7,0.6,26.1397,48.7226,0.6647,41.7476,0.6261
2012-12-21T09:55:12,115.9,9.3,0.6,24.625,48.5092,0.6312,41.5292,0.593
2012-12-21T10:00:12,199.1,10.3,0.5,42.7944,49.4339,1.073,42.3201,1.0112
2012-12-21T10:05:12,252.6,11.6,0.5,56.0281,49.8011,1.3851,42.5816,1.3158
2012-12-21T10:10:12,126.9,12.6,0.6,26.6864,48.1964,0.6908,41.1968,0.6478
2012-12-21T10:15:12,141.8,11.4,0.6,30.6134,48.5847,0.7819,41.5498,0.7368
2012-12-21T10:20:12,185.1,11.7,0.5,39.8444,49.0806,1.0039,41.9756,0.9492
2012-12-21T10:25:12,116.4,10.8,0.6,24.1858,48.2113,0.6244,41.2446,0.5864
2012-12-21T10:30:12,101.6,10.1,0.6,21.1835,47.996,0.5477,41.0864,0.5156
2012-12-21T10:35:12,152.7,10.2,0.6,33.1439,48.9294,0.8386,41.9091,0.7909
2012-12-21T10:40:12,173.1,11.1,0.5,37.69,49.0712,0.9521,42.0066,0.8972
2012-12-21T10:45:12,154.5,11.5,0.6,33.5721,48.7688,0.8533,41.7185,0.8047
2012-12-21T10:50:12,126.8,12.1,0.6,27.0664,48.2946,0.6984,41.2923,0.6555
2012-12-21T10:55:12,108.4,11.5,0.6,23.213,48.0565,0.603,41.0798,0.5651
2012-12-21T11:00:12,100.8,11.2,0.6,21.4878,47.9368,0.5604,40.9684,0.5245
2012-12-21T11:05:12,86.4,10.6,0.6,18.5139,47.6857,0.486,40.7299,0.4546
2012-12-21T11:10:12,94.5,10.4,0.6,20.3085,47.9004,0.53,40.9586,0.4958
2012-12-21T11:15:12,56.5,9.6,0.7,12.0776,46.9917,0.3244,40.0364,0.3017
2012-12-21T11:20:12,73.4,9.1,0.6,16.242,47.6604,0.4279,40.7234,0.3988
2012-12-21T11:25:12,69.1,8.8,0.6,15.3152,47.5778,0.4038,40.6295,0.3769
2012-12-21T11:30:12,111.4,9.1,0.6,25.1156,48.5457,0.6434,41.5682,0.6042
2012-12-21T11:35:12,115.4,9.2,0.6,25.7904,48.5678,0.6603,41.5886,0.6201
2012-12-21T11:40:12,154.9,9.8,0.6,34.8639,49.042,0.8804,42.0535,0.829
2012-12-21T11:45:12,166.2,10.1,0.6,37.4357,49.1805,0.944,42.1297,0.8886
2012-12-21T11:50:12,138.5,10.3,0.6,30.1417,48.7467,0.7677,41.7296,0.7223
2012-12-21T11:55:12,126.1,10.3,0.6,27.1941,48.5288,0.6959,41.5522,0.6545
2012-12-21T12:00:12,129.6,10.4,0.6,27.9488,48.5879,0.7153,41.5861,0.6721
2012-12-21T12:05:12,115.1,10.1,0.6,25.0196,48.4104,0.643,41.4442,0.6037
2012-12-21T12:10:12,138.5,10.4,0.6,30.7011,48.7805,0.7809,41.7682,0.735
2012-12-21T12:15:12,134.8,10.8,0.6,29.8378,48.6589,0.7618,41.6679,0.7161
2012-12-21T12:20:12,114.6,10.1,0.6,25.1732,48.359,0.6471,41.42,0.6078
2012-12-21T12:25:12,98.2,9.8,0.6,21.5576,48.145,0.5588,41.1926,0.5233
2012-12-21T12:30:12,75.3,9.3,0.6,16.5063,47.6513,0.4341,40.7302,0.4053
2012-12-21T12:35:12,69.2,9.1,0.7,15.2276,47.5609,0.4015,40.6295,0.3748
2012-12-21T12:40:12,57.0,9.0,0.7,12.4262,47.1595,0.3322,40.229,0.3089
2012-12-21T12:45:12,49.6,8.8,0.7,10.7951,46.8863,0.2913,39.9659,0.2701
2012-12-21T12:50:12,47.2,8.7,0.8,10.3306,46.8115,0.2795,39.8751,0.2591
2012-12-21T12:55:12,41.1,8.8,0.8,8.9466,46.5266,0.2443,39.5774,0.2261
2012-12-21T13:00:12,35.0,8.8,0.9,7.5336,46.1695,0.2083,39.1686,0.1923
2012-12-21T13:05:12,35.3,8.7,0.9,7.669,46.1643,0.212,39.2351,0.1955
2012-12-21T13:10:12,35.8,8.5,0.9,7.9937,46.312,0.2201,39.3724,0.203
2012-12-21T13:15:12,39.0,8.4,0.8,8.7155,46.524,0.238,39.5673,0.2203
2012-12-21T13:20:12,36.8,8.6,0.8,8.1533,46.3276,0.2239,39.4054,0.2069
2012-12-21T13:25:12,23.5,8.5,1.1,5.0854,45.3879,0.1446,38.3642,0.1326
2012-12-21T13:30:12,22.9,8.3,1.1,4.9428,45.3391,0.1411,38.2855,0.1291
2012-12-21T13:35:12,25.4,8.2,1.1,5.5202,45.5958,0.1562,38.5594,0.1432
2012-12-21T13:40:12,29.7,8.2,1.0,6.4907,45.9366,0.1812,38.9335,0.1667
2012-12-21T13:45:12,30.1,8.4,1.0,6.5366,45.9366,0.1824,38.9292,0.1679
2012-12-21T13:50:12,21.5,8.4,1.2,4.6011,45.1919,0.1326,38.0727,0.1209
2012-12-21T13:55:12,26.3,8.2,1.0,5.7825,45.6778,0.1628,38.698,0.1494
2012-12-21T14:00:12,34.4,8.3,0.9,7.5304,46.2352,0.2084,39.2454,0.1919
2012-12-21T14:05:12,28.2,8.2,1.0,6.1448,45.7831,0.1723,38.8137,0.1583
2012-12-21T14:10:12,27.1,8.2,1.0,5.8494,45.7168,0.1649,38.7263,0.151
2012-12-21T14:15:12,24.6,8.0,1.1,5.295,45.5197,0.1506,38.513,0.1375
2012-12-21T14:35:13,21.5,7.9,1.2,4.636,45.2624,0.1327,38.1875,0.1214
2012-12-21T14:40:12,21.7,7.9,1.2,4.6019,45.2491,0.1314,38.2137,0.1204
2012-12-21T15:05:12,33.4,7.5,0.9,7.7443,46.3959,0.2124,39.4447,0.1963
2012-12-21T15:15:13,20.3,7.5,1.3,4.0639,45.0488,0.1179,37.8861,0.1073
2012-12-21T15:20:12,23.8,7.4,1.2,4.7486,45.3649,0.1353,38.2932,0.124
2012-12-21T15:25:12,24.8,7.7,1.1,4.9215,45.4189,0.1401,38.3599,0.1283
2012-12-21T15:30:12,24.6,7.8,1.2,4.7876,45.3076,0.1369,38.3037,0.125
2012-12-21T15:35:12,26.5,7.8,1.1,5.2593,45.5561,0.1489,38.526,0.1365
2012-12-21T15:40:12,31.2,7.7,1.0,6.3407,45.9074,0.1769,38.9474,0.1628
2012-12-21T15:45:12,31.4,7.7,1.0,6.5467,46.0167,0.1821,39.0426,0.1677
2012-12-21T15:50:12,30.3,7.6,1.0,6.3462,45.9243,0.177,38.9596,0.1629
2012-12-21T15:55:12,25.4,7.4,1.1,5.3702,45.6537,0.1516,38.5482,0.1393
2012-12-22T08:15:12,59.1,6.1,0.7,13.4801,47.7332,0.3532,40.854,0.33
2012-12-22T08:20:12,48.3,6.7,0.8,9.5063,46.98,0.2569,40.0395,0.2374
2012-12-22T08:25:12,38.9,7.0,0.9,7.949,46.526,0.2163,39.6004,0.2007
2012-12-22T08:30:12,57.8,7.2,0.7,12.4361,47.4113,0.3282,40.5181,0.3069
2012-12-22T08:40:12,266.0,9.3,0.5,59.7611,50.241,1.4668,42.977,1.3905
2012-12-22T08:45:12,156.9,9.7,0.6,34.1976,49.0583,0.8596,42.0214,0.8138
2012-12-22T08:50:12,67.7,8.8,0.7,13.992,47.395,0.37,40.5081,0.3454
2012-12-22T08:55:12,56.9,8.2,0.7,11.5856,47.1042,0.3093,40.2296,0.288
2012-12-22T09:00:12,56.2,7.8,0.7,11.3159,47.1368,0.3028,40.2182,0.2814
2012-12-22T09:05:12,54.9,7.7,0.8,10.8171,47.0906,0.2898,40.1257,0.2696
2012-12-22T09:10:12,67.9,7.5,0.7,13.5603,47.5446,0.3568,40.6332,0.3337
2012-12-22T09:15:12,112.7,7.9,0.6,24.2212,48.6699,0.6144,41.7188,0.5806
2012-12-22T09:25:12,101.3,10.3,0.6,21.1962,48.0051,0.5509,41.0686,0.5161
2012-12-22T09:30:12,102.4,9.3,0.6,21.5019,48.1827,0.5561,41.2525,0.5212
2012-12-22T09:35:12,105.6,9.0,0.6,22.236,48.3271,0.5727,41.3846,0.5373
2012-12-22T09:40:12,108.4,8.8,0.6,22.8094,48.4013,0.5862,41.4454,0.5503
2012-12-22T09:45:12,102.7,8.7,0.6,21.26,48.2822,0.5479,41.3132,0.5146
2012-12-22T09:50:12,101.8,8.6,0.6,20.848,48.2621,0.5378,41.2975,0.5048
2012-12-22T09:55:12,115.3,8.5,0.6,23.8137,48.5255,0.6091,41.5471,0.5732
2012-12-22T10:00:12,124.9,8.7,0.6,26.0256,48.6842,0.6613,41.7138,0.6239
2012-12-22T10:05:12,164.7,9.4,0.6,34.3479,49.1096,0.8644,42.0682,0.8165
2012-12-22T10:15:12,723.8,16.2,0.5,160.4146,51.0859,3.9517,42.8414,3.7444
2012-12-22T10:25:12,238.3,13.8,0.5,50.5367,49.0583,1.2793,41.8415,1.2078
2012-12-22T10:30:12,183.9,11.1,0.5,39.0844,49.026,0.986,41.9246,0.9323
2012-12-22T10:35:12,304.8,10.9,0.5,67.6114,50.1367,1.6648,42.7906,1.5801
2012-12-22T10:40:12,154.9,10.8,0.5,32.8039,48.7811,0.8341,41.757,0.7856
2012-12-22T10:45:12,189.7,10.1,0.5,41.1957,49.3568,1.0311,42.2668,0.9747
2012-12-22T10:50:12,234.1,10.4,0.5,51.801,49.749,1.2809,42.5751,1.2167
2012-12-22T10:55:12,295.0,11.7,0.5,65.6115,50.011,1.6219,42.6959,1.5367
2012-12-22T11:00:12,515.9,12.1,0.5,115.2295,50.9818,2.8132,43.1948,2.6677
