Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2012-12-20T10:40:19,22.7,5.0,13.6,2.5521,191.645,0.0225,143.2052,0.0178
2012-12-20T10:45:19,31.3,5.2,10.0,3.5783,196.4228,0.0305,146.9539,0.0243
2012-12-20T10:50:19,33.8,5.2,9.4,3.8515,197.3908,0.0326,147.8543,0.026
2012-12-20T10:55:19,29.8,5.2,10.7,3.3609,195.4855,0.0288,146.1371,0.023
2012-12-20T11:00:19,32.7,5.2,10.0,3.6907,196.7808,0.0313,147.5095,0.025
2012-12-20T11:05:19,35.1,5.2,9.4,3.9691,197.8474,0.0335,147.9735,0.0268
2012-12-20T11:10:19,33.2,5.2,9.8,3.757,197.0633,0.0318,147.4506,0.0255
2012-12-20T11:15:19,37.7,5.2,8.5,4.331,199.0273,0.0361,149.2878,0.029
2012-12-20T11:20:19,39.1,5.2,8.2,4.5113,199.5609,0.0375,149.3792,0.0302
2012-12-20T11:25:19,37.9,5.4,8.5,4.3857,199.0597,0.0366,149.117,0.0294
2012-12-20T11:30:19,37.6,5.5,8.6,4.3143,198.7242,0.0361,149.0385,0.0289
2012-12-20T11:35:19,33.2,5.6,9.7,3.7985,196.8575,0.0322,147.3325,0.0258
2012-12-20T11:40:20,31.8,5.7,10.1,3.6123,196.0564,0.0308,146.6417,0.0246
2012-12-20T11:45:20,29.1,5.7,10.8,3.3389,194.9375,0.0288,145.695,0.0229
2012-12-20T11:50:19,30.4,5.7,10.3,3.4903,195.5793,0.0299,146.1571,0.0239
2012-12-20T11:55:19,35.1,5.7,8.9,4.0703,197.7352,0.0343,147.8534,0.0275
2012-12-20T12:00:19,35.7,5.7,8.8,4.1309,197.9163,0.0347,148.3123,0.0279
2012-12-20T12:05:19,30.7,5.8,10.2,3.5318,195.7,0.0302,146.4211,0.0241
2012-12-20T12:10:19,31.2,5.6,10.2,3.6172,196.1318,0.0308,146.5914,0.0247
2012-12-20T12:15:19,27.2,5.5,11.5,3.1141,194.0689,0.027,145.1627,0.0215
2012-12-20T12:20:19,24.6,5.5,12.3,2.8323,192.7184,0.0248,144.0064,0.0197
2012-12-20T12:25:19,24.0,5.5,12.5,2.7788,192.4682,0.0243,143.6462,0.0193
2012-12-20T12:30:19,24.5,5.5,12.5,2.8106,192.5755,0.0246,143.7511,0.0196
2012-12-20T12:35:20,24.4,5.5,12.7,2.7891,192.518,0.0244,143.7553,0.0194
2012-12-20T12:40:19,25.4,5.6,12.2,2.9463,193.2575,0.0256,144.4124,0.0204
2012-12-20T12:45:19,25.0,5.5,12.1,2.8946,193.0173,0.0252,144.2304,0.0201
2012-12-20T12:55:19,22.7,5.1,13.1,2.6571,192.0748,0.0234,143.4328,0.0185
2012-12-20T13:05:19,20.4,5.0,14.8,2.3597,190.4978,0.021,141.743,0.0166
2012-12-20T13:10:19,21.6,4.9,13.8,2.5088,191.4624,0.0222,142.5081,0.0176
2012-12-20T13:15:19,21.6,4.9,13.7,2.5192,191.5733,0.0222,142.5165,0.0177
2012-12-20T13:20:19,20.4,4.8,14.5,2.3564,190.635,0.021,142.1989,0.0166
2012-12-20T13:25:19,21.2,4.9,14.1,2.4725,191.3075,0.0219,142.3756,0.0174
2012-12-20T13:55:19,25.4,4.3,12.1,2.9023,194.2157,0.0252,144.9543,0.02
2012-12-20T14:00:19,36.9,4.5,8.7,4.1803,199.1844,0.0351,149.1031,0.028
2012-12-20T14:05:19,27.5,4.4,11.7,3.0719,194.8485,0.0265,145.1714,0.0212
2012-12-20T14:10:19,36.9,4.7,9.1,4.1201,198.7666,0.0346,148.7757,0.0277
