Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2012-12-20T10:40:15,22.7,4.9,11.0,0.8391,52.8981,0.0281,39.7124,0.0211
2012-12-20T10:45:15,31.2,5.0,8.1,1.1929,54.1202,0.0378,41.3081,0.0289
2012-12-20T10:50:15,33.8,5.2,7.6,1.2934,54.4045,0.0407,41.6648,0.031
2012-12-20T10:55:15,29.6,5.1,8.7,1.1089,53.8549,0.0357,41.0515,0.027
2012-12-20T11:00:15,32.7,5.2,8.0,1.2329,54.1999,0.039,41.3969,0.0298
2012-12-20T11:05:15,35.3,5.1,7.5,1.3478,54.5175,0.0421,41.7301,0.0323
2012-12-20T11:10:15,33.4,5.2,7.9,1.2646,54.2741,0.0399,41.4381,0.0305
2012-12-20T11:15:15,37.6,5.2,6.8,1.4652,54.7905,0.0454,42.0653,0.0348
2012-12-20T11:20:15,39.2,5.2,6.5,1.5284,54.9254,0.0472,42.2063,0.0362
2012-12-20T11:25:15,37.7,5.4,6.9,1.474,54.7761,0.0454,42.019,0.0351
2012-12-20T11:30:15,37.7,5.5,6.9,1.4641,54.7531,0.0453,41.9587,0.0349
2012-12-20T11:35:15,33.2,5.6,7.8,1.2778,54.2289,0.0402,41.3523,0.0309
2012-12-20T11:40:15,31.9,5.7,8.1,1.2182,54.0475,0.0389,41.2274,0.0295
2012-12-20T11:45:15,29.1,5.7,8.7,1.1177,53.7211,0.0358,40.8624,0.0274
2012-12-20T11:50:15,30.5,5.7,8.2,1.1818,53.9377,0.0377,41.1094,0.0287
2012-12-20T11:55:15,34.8,5.7,7.2,1.3709,54.4645,0.0428,41.7178,0.0329
2012-12-20T12:00:15,35.5,5.7,7.1,1.3973,54.5349,0.0435,41.7913,0.0334
2012-12-20T12:05:15,30.7,5.7,8.2,1.1895,53.9902,0.0378,41.0282,0.029
2012-12-20T12:10:15,31.3,5.6,8.1,1.228,54.0942,0.0389,41.2224,0.0298
2012-12-20T12:15:15,27.1,5.5,9.2,1.0469,53.546,0.0339,40.6994,0.0257
2012-12-20T12:20:15,24.5,5.5,9.9,0.9462,53.1498,0.0311,39.9594,0.0237
2012-12-20T12:25:15,24.1,5.5,9.9,0.9288,53.0717,0.0309,40.0614,0.0232
2012-12-20T12:30:15,24.6,5.5,9.9,0.9397,53.1524,0.0311,40.1323,0.0234
2012-12-20T12:35:15,24.2,5.5,10.1,0.9301,53.1264,0.0306,40.0579,0.0232
2012-12-20T12:40:15,25.1,5.6,9.8,0.974,53.2716,0.032,40.2807,0.0242
2012-12-20T12:45:15,24.9,5.5,9.6,0.9658,53.2582,0.0319,40.1159,0.0241
2012-12-20T12:55:15,22.4,5.1,10.5,0.8839,53.0057,0.0294,40.0556,0.0221
2012-12-20T13:05:15,20.5,4.9,11.7,0.7967,52.6439,0.0269,39.4615,0.0202
2012-12-20T13:10:15,21.6,4.9,10.9,0.844,52.8803,0.0283,39.8579,0.0212
2012-12-20T13:15:15,21.4,4.8,10.9,0.8328,52.8433,0.0281,39.6759,0.021
2012-12-20T13:20:15,20.4,4.8,11.5,0.7841,52.6265,0.0266,39.6415,0.0198
2012-12-20T13:25:15,21.3,4.8,11.0,0.8361,52.8656,0.0281,39.5714,0.0211
2012-12-20T13:55:15,25.0,4.2,9.9,0.9538,53.4915,0.0312,40.5321,0.0235
2012-12-20T14:00:15,37.3,4.4,7.0,1.4316,54.9035,0.0443,42.0776,0.034
2012-12-20T14:05:15,27.4,4.4,9.5,1.0103,53.6921,0.0329,40.5974,0.0249
2012-12-20T14:10:15,37.2,4.7,7.2,1.4029,54.725,0.0438,41.8913,0.0335
2012-12-20T14:15:15,32.4,4.6,8.2,1.1979,54.1976,0.038,41.2914,0.029
2012-12-20T14:20:15,29.7,4.7,8.8,1.0703,53.8187,0.0344,41.0389,0.0261
2012-12-20T14:25:15,31.3,4.8,8.5,1.1327,54.0099,0.0361,41.1072,0.0276
2012-12-20T14:30:15,33.3,5.0,8.0,1.2314,54.2241,0.039,41.2473,0.0299
2012-12-20T14:35:15,25.7,5.0,10.4,0.9107,53.169,0.0301,40.1195,0.0227
2012-12-20T14:40:15,28.9,4.9,9.2,1.0315,53.6429,0.0334,40.6603,0.0254
2012-12-20T14:45:15,24.3,4.9,10.8,0.8399,52.8844,0.0279,39.7555,0.0211
2012-12-20T14:50:15,20.9,5.0,12.5,0.71,52.2384,0.0245,38.9374,0.0182
2012-12-21T09:00:15,22.3,6.5,12.4,0.7085,51.8682,0.0246,38.6428,0.0183
2012-12-21T09:05:15,25.3,6.4,11.1,0.8112,52.3927,0.0276,39.4598,0.0206
2012-12-21T09:10:15,38.4,6.3,7.7,1.2988,54.1401,0.0408,41.588,0.0312
2012-12-21T09:15:15,46.9,6.3,6.3,1.6218,54.9262,0.0494,42.3143,0.0383
2012-12-21T09:20:15,57.5,6.4,5.3,2.0318,55.6094,0.0605,43.1423,0.0471
2012-12-21T09:25:15,58.3,6.7,5.2,2.0588,55.6476,0.0609,43.2844,0.0476
2012-12-21T09:30:15,72.9,7.1,4.2,2.6393,56.36,0.0762,43.9236,0.0601
2012-12-21T09:35:15,70.4,7.3,4.3,2.5199,56.1843,0.0728,43.8565,0.0575
2012-12-21T09:40:15,63.9,7.5,4.7,2.264,55.8139,0.0663,43.5427,0.052
2012-12-21T09:45:15,66.2,7.6,4.4,2.3736,55.8681,0.0695,43.4815,0.0546
2012-12-21T09:50:15,121.2,8.5,2.5,4.5439,57.5816,0.1279,44.8035,0.1014
2012-12-21T09:55:15,115.2,9.2,2.6,4.3416,57.3311,0.1219,44.7223,0.0971
2012-12-21T10:00:15,194.4,10.4,1.7,7.2708,58.5345,0.2015,45.3316,0.1604
2012-12-21T10:05:15,260.4,11.8,1.3,10.0598,59.153,0.2754,45.6593,0.2203
2012-12-21T10:10:15,125.5,13.3,2.4,4.6471,56.6374,0.1317,44.2012,0.1051
2012-12-21T10:15:15,142.4,12.4,2.2,5.4498,57.2916,0.1527,44.6536,0.122
2012-12-21T10:20:15,185.2,12.6,1.7,7.2002,58.0807,0.1984,45.1967,0.1593
2012-12-21T10:25:15,116.4,11.8,2.5,4.3983,56.8552,0.123,44.5938,0.0986
2012-12-21T10:30:15,103.2,11.0,2.9,3.9581,56.7238,0.1111,44.4797,0.089
2012-12-21T10:35:15,153.0,10.7,2.0,5.9184,57.888,0.1636,45.1228,0.1312
2012-12-21T10:40:15,171.9,11.7,1.8,6.6063,57.966,0.1831,45.0576,0.1466
2012-12-21T10:45:15,154.8,12.4,2.0,6.0173,57.5797,0.1671,44.8798,0.1341
2012-12-21T10:50:15,126.4,12.8,2.4,4.8518,56.861,0.1359,44.4764,0.1091
2012-12-21T10:55:15,108.5,12.3,2.7,4.1526,56.5301,0.1176,44.1902,0.094
2012-12-21T11:00:15,100.7,12.1,2.9,3.8139,56.3205,0.1085,44.0371,0.0866
2012-12-21T11:05:15,86.5,11.6,3.2,3.2769,55.9438,0.0943,43.7703,0.0749
2012-12-21T11:10:15,94.2,11.2,3.1,3.5575,56.2908,0.1017,43.9516,0.0809
2012-12-21T11:15:15,56.5,10.2,4.9,2.0669,54.8289,0.0623,42.532,0.0486
2012-12-21T11:20:15,73.5,9.5,3.7,2.8359,55.9139,0.0825,43.5726,0.0651
2012-12-21T11:25:15,69.2,9.2,3.9,2.6614,55.7983,0.0777,43.4257,0.0613
2012-12-21T11:30:15,111.5,9.3,2.6,4.4192,57.3215,0.1239,44.7262,0.0988
2012-12-21T11:35:15,115.7,9.5,2.5,4.5525,57.3808,0.1276,44.7516,0.1017
2012-12-21T11:40:15,155.1,10.1,1.9,6.1259,58.0913,0.169,45.2473,0.1354
2012-12-21T11:45:15,165.7,10.4,1.9,6.5509,58.2267,0.1805,45.2932,0.1446
2012-12-21T11:50:15,138.8,10.8,2.1,5.4737,57.6712,0.1509,45.1079,0.1213
2012-12-21T11:55:15,126.5,10.7,2.4,4.9113,57.36,0.1366,44.8923,0.1094
2012-12-21T12:00:15,129.6,10.8,2.3,5.0059,57.3822,0.139,44.9322,0.1114
2012-12-21T12:05:15,115.2,10.7,2.6,4.4173,57.0594,0.1238,44.5837,0.0991
2012-12-21T12:10:15,138.7,11.0,2.1,5.3937,57.5839,0.1498,44.9414,0.12
2012-12-21T12:15:15,134.6,11.3,2.2,5.2318,57.3716,0.1458,44.7813,0.1168
2012-12-21T12:20:15,114.4,10.7,2.5,4.4039,57.0199,0.1237,44.5637,0.0988
2012-12-21T12:25:15,98.0,10.4,3.0,3.7547,56.6274,0.1065,44.2889,0.0848
2012-12-21T12:30:15,75.2,9.8,3.8,2.8449,55.9233,0.0825,43.6863,0.0651
2012-12-21T12:35:15,69.1,9.5,4.1,2.6234,55.7357,0.0767,43.4293,0.0604
2012-12-21T12:40:15,56.9,9.3,4.8,2.1206,55.1084,0.0633,42.7561,0.0496
2012-12-21T12:45:15,49.6,9.0,5.5,1.8472,54.7067,0.056,42.2578,0.0437
2012-12-21T12:50:15,47.0,8.9,5.6,1.779,54.6301,0.0544,42.1387,0.0422
2012-12-21T12:55:15,41.1,8.8,6.3,1.537,54.1344,0.0478,41.6824,0.0369
2012-12-21T13:00:15,34.9,8.8,7.3,1.2928,53.5736,0.0411,41.0044,0.0315
2012-12-21T13:05:15,35.2,8.7,7.4,1.3191,53.6497,0.0418,41.0362,0.0321
2012-12-21T13:10:15,35.9,8.5,7.1,1.3743,53.8174,0.0432,41.0993,0.0334
2012-12-21T13:15:15,39.0,8.4,6.5,1.511,54.1902,0.0471,41.6071,0.0363
2012-12-21T13:20:15,36.7,8.6,6.8,1.415,53.8935,0.0444,41.3577,0.0342
2012-12-21T13:25:15,23.4,8.5,10.1,0.873,52.2035,0.0294,39.4084,0.0222
2012-12-21T13:30:15,22.8,8.3,10.4,0.8513,52.1344,0.0288,39.2307,0.0217
2012-12-21T13:35:15,25.3,8.2,9.8,0.9469,52.5613,0.0314,39.785,0.0238
