Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2012-12-20T10:40:01,22.8,4.6,4.7,0.8032,18.7047,0.0685,13.9713,0.0575
2012-12-20T10:45:01,31.0,4.8,3.5,1.1507,19.3267,0.093,14.6758,0.0784
2012-12-20T10:50:01,34.0,4.8,3.2,1.2725,19.4877,0.1007,14.8897,0.0855
2012-12-20T10:55:01,29.2,4.8,3.7,1.064,19.19,0.0865,14.5603,0.0731
2012-12-20T11:00:01,32.9,4.8,3.4,1.2159,19.4085,0.0969,14.8119,0.0821
2012-12-20T11:05:01,36.0,4.8,3.1,1.3534,19.5647,0.1062,15.0119,0.0902
2012-12-20T11:10:01,34.0,4.8,3.3,1.2654,19.4687,0.1004,14.8751,0.0851
2012-12-20T11:15:01,37.5,4.9,2.9,1.4349,19.6691,0.1117,15.1495,0.0947
2012-12-20T11:20:01,39.3,4.9,2.8,1.5151,19.7443,0.1169,15.2436,0.0994
2012-12-20T11:25:01,37.2,5.0,3.0,1.4275,19.6457,0.111,15.1623,0.0941
2012-12-20T11:30:01,37.8,5.1,2.9,1.4501,19.6532,0.113,15.1289,0.0958
2012-12-20T11:35:01,33.1,5.2,3.3,1.2433,19.408,0.0996,14.8168,0.0839
2012-12-20T11:40:01,32.3,5.3,3.4,1.2081,19.3507,0.0968,14.7749,0.0818
2012-12-20T11:45:01,29.2,5.3,3.7,1.0802,19.1707,0.088,14.5328,0.0743
2012-12-20T11:50:01,30.8,5.3,3.5,1.1468,19.2752,0.0923,14.6722,0.0782
2012-12-20T11:55:01,34.1,5.3,3.2,1.2969,19.4645,0.1024,14.9047,0.087
2012-12-20T12:00:01,35.1,5.3,3.1,1.3351,19.5224,0.1056,14.9824,0.0891
2012-12-20T12:05:01,31.1,5.3,3.5,1.1515,19.2777,0.0928,14.6982,0.0783
2012-12-20T12:10:01,31.4,5.2,3.4,1.1808,19.3292,0.0952,14.7361,0.0801
2012-12-20T12:15:01,27.1,5.2,4.0,0.9862,19.0319,0.0814,14.3673,0.0686
2012-12-20T12:20:01,24.3,5.1,4.3,0.8753,18.8262,0.0739,14.1067,0.0621
2012-12-20T12:25:01,24.0,5.1,4.3,0.8686,18.8003,0.073,14.1027,0.0616
2012-12-20T12:30:01,24.7,5.2,4.2,0.89,18.853,0.0748,14.1949,0.0627
2012-12-20T12:35:01,24.2,5.1,4.4,0.8682,18.8154,0.0728,14.1283,0.0615
2012-12-20T12:40:01,24.5,5.2,4.4,0.8793,18.8405,0.0742,14.1571,0.0621
2012-12-20T12:45:01,24.8,5.1,4.2,0.8959,18.866,0.0753,14.1783,0.0632
2012-12-20T12:55:01,21.4,4.7,4.8,0.7606,18.6071,0.0653,13.8402,0.055
2012-12-20T13:05:01,20.7,4.6,5.1,0.7297,18.5276,0.0633,13.8008,0.0529
2012-12-20T13:10:01,21.5,4.5,4.8,0.7694,18.634,0.0658,13.91,0.0553
2012-12-20T13:15:01,20.8,4.4,4.9,0.7264,18.5342,0.0633,13.7782,0.0527
2012-12-20T13:20:01,20.4,4.4,5.0,0.7114,18.5003,0.0617,13.7484,0.0517
2012-12-20T13:25:01,21.6,4.4,4.7,0.7743,18.6498,0.0666,13.949,0.0555
2012-12-20T13:55:01,23.4,3.9,4.5,0.8448,18.8624,0.0711,14.17,0.0596
2012-12-20T14:00:01,38.2,4.1,2.9,1.4569,19.7404,0.1127,15.1762,0.096
2012-12-20T14:05:01,26.9,4.0,4.0,0.9751,19.0932,0.0801,14.4016,0.0677
2012-12-20T14:10:01,37.9,4.4,2.9,1.4514,19.7202,0.1129,15.1894,0.0956
2012-12-20T14:15:01,31.8,4.1,3.5,1.1801,19.4027,0.094,14.7937,0.0798
2012-12-20T14:20:01,30.2,4.3,3.6,1.101,19.2786,0.089,14.6535,0.0751
2012-12-20T14:25:01,31.4,4.4,3.5,1.1366,19.318,0.0914,14.7021,0.0773
2012-12-20T14:30:01,33.6,4.6,3.3,1.2639,19.4821,0.1002,14.8858,0.0849
2012-12-20T14:35:01,25.4,4.5,4.2,0.9067,18.9195,0.0761,14.2212,0.0638
2012-12-20T14:40:01,29.2,4.5,3.7,1.055,19.194,0.086,14.5802,0.0724
2012-12-20T14:45:01,24.4,4.5,4.3,0.8512,18.812,0.0721,14.1411,0.0602
2012-12-20T14:50:01,21.2,4.6,5.0,0.7251,18.518,0.0631,13.8066,0.0525
2012-12-21T09:00:01,22.3,6.1,4.8,0.7643,18.5205,0.0659,13.835,0.0552
2012-12-21T09:05:01,24.9,5.8,4.3,0.8622,18.7518,0.0729,14.0794,0.0612
2012-12-21T09:10:01,37.9,5.8,3.0,1.3777,19.5299,0.1085,14.99,0.0919
2012-12-21T09:15:01,46.6,5.7,2.6,1.7199,19.871,0.1305,15.4503,0.1113
2012-12-21T09:20:01,57.0,5.9,2.2,2.1407,20.1633,0.1575,15.8562,0.135
2012-12-21T09:25:01,57.7,6.2,2.2,2.132,20.1391,0.1576,15.813,0.1348
2012-12-21T09:30:01,72.2,6.5,1.8,2.7354,20.4494,0.1949,16.2706,0.1681
2012-12-21T09:35:01,70.8,6.7,1.9,2.619,20.3804,0.1886,16.186,0.1618
2012-12-21T09:40:01,64.2,6.8,2.0,2.3357,20.223,0.1704,15.9882,0.1461
2012-12-21T09:45:01,65.0,7.0,1.9,2.3928,20.2409,0.1743,15.9919,0.1496
2012-12-21T09:50:01,133.6,7.8,1.1,5.4294,21.165,0.358,17.3591,0.3128
2012-12-21T09:55:01,114.8,8.3,1.2,4.6569,20.9568,0.3116,17.0858,0.2726
2012-12-21T10:00:01,218.8,9.4,0.9,9.3501,21.6243,0.5849,17.993,0.5197
2012-12-21T10:05:01,232.7,10.7,0.9,10.133,21.6249,0.6266,18.0427,0.5616
2012-12-21T10:10:01,132.2,11.6,1.1,5.3263,20.8619,0.3562,17.0934,0.3116
2012-12-21T10:15:01,139.2,10.1,1.1,5.8128,21.0519,0.3824,17.2937,0.3361
2012-12-21T10:20:01,181.8,10.3,0.9,7.7844,21.3672,0.4945,17.7066,0.4396
2012-12-21T10:25:01,116.7,9.3,1.2,4.6098,20.8567,0.311,16.9849,0.2714
2012-12-21T10:30:01,99.2,8.9,1.4,3.8356,20.6813,0.2643,16.7096,0.2295
2012-12-21T10:35:01,151.6,8.9,1.0,6.374,21.2509,0.4127,17.5208,0.3638
2012-12-21T10:40:01,181.2,10.2,0.9,7.7473,21.3693,0.4935,17.7112,0.4374
2012-12-21T10:45:01,153.2,10.7,1.0,6.4386,21.1416,0.4188,17.4228,0.3696
2012-12-21T10:50:01,128.6,11.0,1.1,5.2434,20.8833,0.3506,17.0862,0.3069
2012-12-21T10:55:01,108.5,10.5,1.3,4.3726,20.7168,0.2981,16.8413,0.2596
2012-12-21T11:00:01,101.8,10.3,1.3,4.0575,20.6407,0.2797,16.7263,0.2426
2012-12-21T11:05:01,85.7,9.8,1.5,3.3868,20.4624,0.2379,16.439,0.206
