Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2012-12-20T10:40:09,22.8,4.5,1.1,1.7775,19.7595,0.13,16.0663,0.1106
2012-12-20T10:45:09,31.2,4.6,0.9,2.5424,20.1561,0.1774,16.5311,0.1538
2012-12-20T10:50:09,34.0,4.7,0.8,2.784,20.2453,0.1918,16.6615,0.1671
2012-12-20T10:55:09,29.5,4.7,0.9,2.3686,20.0748,0.1666,16.4297,0.1442
2012-12-20T11:00:09,32.8,4.7,0.9,2.6541,20.1949,0.1842,16.614,0.1598
2012-12-20T11:05:09,35.6,4.7,0.8,2.9153,20.2973,0.1999,16.7257,0.1743
2012-12-20T11:10:09,33.7,4.7,0.9,2.738,20.229,0.1891,16.6669,0.1643
2012-12-20T11:15:09,37.6,4.7,0.8,3.1385,20.375,0.2132,16.8331,0.1864
2012-12-20T11:20:09,39.1,4.7,0.7,3.2919,20.419,0.2225,16.8885,0.1949
2012-12-20T11:25:09,37.5,4.9,0.8,3.1413,20.3605,0.2133,16.8261,0.1867
2012-12-20T11:30:09,37.7,5.0,0.8,3.1446,20.3546,0.2141,16.8032,0.1871
2012-12-20T11:35:09,33.1,5.1,0.8,2.7291,20.193,0.189,16.6134,0.1643
2012-12-20T11:40:09,32.1,5.2,0.9,2.6207,20.1444,0.1824,16.5538,0.1583
2012-12-20T11:45:10,29.1,5.2,0.9,2.372,20.0335,0.1674,16.4065,0.1446
2012-12-20T11:50:09,30.7,5.2,0.9,2.5092,20.0999,0.1756,16.4901,0.1522
2012-12-20T11:55:09,34.4,5.2,0.8,2.875,20.2411,0.1976,16.6941,0.1722
2012-12-20T12:00:09,35.4,5.2,0.8,2.946,20.2687,0.2019,16.715,0.1762
2012-12-20T12:05:09,30.7,5.1,0.9,2.5077,20.093,0.1756,16.5114,0.1519
2012-12-20T12:10:09,31.4,5.0,0.9,2.5965,20.1398,0.1807,16.5515,0.1569
2012-12-20T12:15:09,27.1,5.0,1.0,2.1813,19.9524,0.1557,16.304,0.1338
2012-12-20T12:20:09,24.5,5.0,1.0,1.9524,19.8316,0.1413,16.1444,0.1209
2012-12-20T12:25:09,24.1,4.9,1.0,1.9255,19.8175,0.1396,16.1294,0.1194
2012-12-20T12:30:09,24.6,5.0,1.0,1.9548,19.8326,0.1415,16.1386,0.1211
2012-12-20T12:35:09,24.2,5.0,1.1,1.9262,19.8174,0.1397,16.1145,0.1195
