Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2012-08-14T06:15:38,72.5,15.7,1.3,3.6456,37.6893,0.1619,28.9689,0.1258
2012-08-14T06:30:38,107.0,16.8,1.0,5.3997,38.6115,0.2234,30.3327,0.178
2012-08-14T06:45:37,149.0,19.0,0.8,7.8627,39.3006,0.3076,31.3598,0.2507
2012-08-14T07:00:37,203.3,21.9,0.6,11.4155,39.8021,0.4265,32.0601,0.3561
2012-08-14T07:15:38,260.0,25.1,0.5,15.5783,40.1336,0.5652,32.4846,0.4796
2012-08-14T07:30:37,315.6,28.7,0.5,19.6658,40.2176,0.7043,32.5701,0.6038
2012-08-14T07:45:37,370.6,32.6,0.5,23.7513,40.1646,0.8471,32.492,0.731
2012-08-14T08:00:37,429.3,34.0,0.4,28.3486,40.382,1.0004,32.6302,0.8688
2012-08-14T08:15:38,486.6,37.5,0.4,32.4618,40.2102,1.1492,32.3911,1.0022
2012-08-14T08:30:38,541.9,41.4,0.4,36.3026,40.0208,1.2928,32.1181,1.1303
2012-08-14T08:45:38,594.9,43.7,0.4,40.0409,39.9459,1.4292,31.9659,1.2526
2012-08-14T09:00:37,650.7,46.8,0.4,43.6546,39.7397,1.5719,31.6475,1.3794
2012-08-14T09:15:38,702.9,46.6,0.4,47.502,39.8488,1.7064,31.6533,1.5007
2012-08-14T09:30:38,747.1,47.3,0.4,50.561,39.8996,1.817,31.6103,1.5995
2012-08-14T09:45:38,790.4,48.9,0.3,53.4349,39.8731,1.9246,31.5142,1.6956
2012-08-14T10:00:37,834.2,51.3,0.4,56.0384,39.6631,2.0378,31.2074,1.7957
2012-08-14T10:15:37,871.5,52.5,0.4,58.4514,39.6651,2.1295,31.1433,1.8769
2012-08-14T10:30:38,903.0,53.5,0.4,60.4333,39.5951,2.2091,31.015,1.9485
2012-08-14T10:45:38,949.6,55.6,0.4,62.7917,39.3113,2.3247,30.6466,2.0489
2012-08-14T11:00:38,957.9,55.1,0.4,63.7129,39.4882,2.3451,30.7983,2.0687
2012-08-14T11:15:38,1015.4,56.8,0.4,67.2087,39.391,2.4899,30.5874,2.1973
2012-08-14T12:00:38,1032.8,58.1,0.4,67.7824,39.149,2.5348,30.321,2.2355
2012-08-14T12:15:38,1018.7,58.0,0.4,66.4857,38.9896,2.4985,30.2019,2.2014
2012-08-14T12:30:38,1018.3,57.8,0.4,66.7224,39.1043,2.4959,30.3093,2.2014
2012-08-14T12:45:38,1014.7,61.1,0.4,65.56,38.6592,2.4904,29.8974,2.1928
2012-08-14T13:00:38,1003.6,62.1,0.4,64.5059,38.5474,2.4551,29.8331,2.1622
2012-08-14T13:15:38,984.3,54.6,0.4,65.0804,39.2938,2.4096,30.5882,2.1276
2012-08-14T13:30:38,957.1,56.7,0.4,62.5653,39.0188,2.3349,30.3877,2.0589
2012-08-14T13:45:38,950.4,56.4,0.4,62.1603,39.0567,2.3158,30.4401,2.0421
2012-08-14T14:00:38,899.3,53.2,0.4,59.4722,39.2792,2.1929,30.7527,1.9339
2012-08-14T14:15:38,859.0,53.3,0.4,56.8164,39.3249,2.0881,30.8734,1.8403
2012-08-14T14:30:38,829.8,56.6,0.4,53.9497,38.8312,2.0154,30.447,1.7719
2012-08-14T14:45:38,789.0,55.4,0.4,51.3653,38.7204,1.9216,30.4251,1.6883
2012-08-14T15:00:38,274.5,50.8,0.5,17.0654,36.8777,0.682,29.4319,0.5798
2012-08-14T15:15:38,708.3,48.8,0.4,47.0946,39.496,1.7098,31.34,1.5027
2012-08-14T15:30:38,166.7,39.1,0.6,10.0389,37.2402,0.408,29.6779,0.3383
2012-08-14T15:45:37,527.4,37.7,0.4,35.5397,40.3609,1.2496,32.5145,1.093
2012-08-14T16:00:38,462.5,43.5,0.4,29.8377,39.1743,1.0922,31.4641,0.9483
2012-08-14T16:30:38,181.2,39.2,0.6,11.1226,37.4295,0.4453,29.885,0.3722
2012-08-14T16:45:38,118.8,36.3,0.9,6.8428,36.6645,0.2927,28.8936,0.2368
2012-08-14T17:00:38,105.0,32.1,0.8,5.9031,36.8804,0.2541,28.9761,0.2037
2012-08-14T17:15:38,168.7,31.9,0.6,9.3319,38.0634,0.3724,30.397,0.307
2012-08-14T17:30:38,107.3,31.6,0.8,6.1275,37.0488,0.2616,29.1569,0.2102
2012-08-14T17:45:38,113.8,30.9,0.8,5.8583,37.0167,0.2516,29.0915,0.2014
2012-08-14T18:00:38,61.7,29.4,1.3,3.3027,35.6495,0.1578,27.1658,0.1216
2012-08-15T06:15:38,65.5,22.5,1.2,3.6578,36.7662,0.1658,28.3029,0.1292
2012-08-15T06:30:38,92.5,23.1,1.0,5.2721,37.6863,0.2234,29.5283,0.1785
2012-08-15T06:45:38,126.7,24.0,0.8,7.2982,38.417,0.294,30.5201,0.2391
2012-08-15T07:00:38,164.2,25.2,0.6,9.618,38.9187,0.3727,31.182,0.3084
2012-08-15T07:15:38,206.7,26.5,0.6,12.4074,39.3686,0.4661,31.7154,0.3912
2012-08-15T07:30:38,253.5,27.9,0.5,15.7199,39.7237,0.5762,32.1075,0.4896
2012-08-15T07:45:38,301.7,29.3,0.5,19.1437,39.9765,0.6907,32.3761,0.5913
2012-08-15T08:00:38,351.7,31.6,0.5,22.7308,40.1059,0.8125,32.4642,0.7002
2012-08-15T08:15:37,404.8,33.6,0.4,26.6167,40.1981,0.9444,32.5095,0.8187
2012-08-15T08:30:38,476.2,36.1,0.4,32.0846,40.2997,1.1315,32.5192,0.9866
2012-08-15T08:45:38,527.0,38.8,0.4,35.6988,40.2297,1.2614,32.3601,1.1032
2012-08-15T09:00:38,574.6,40.0,0.4,39.1114,40.2142,1.3827,32.2504,1.2127
2012-08-15T09:15:37,631.1,42.4,0.4,42.9645,40.0752,1.5273,32.016,1.342
2012-08-15T09:30:37,679.4,48.4,0.4,45.5342,39.5348,1.6503,31.408,1.4498
2012-08-15T09:45:38,720.1,51.9,0.4,47.8675,39.2734,1.7527,31.0799,1.5401
2012-08-15T10:00:38,755.1,51.2,0.3,50.4437,39.4367,1.8412,31.1455,1.6196
2012-08-15T10:15:38,811.7,52.9,0.4,54.108,39.4192,1.9809,31.0222,1.7442
2012-08-15T10:30:38,839.6,54.9,0.4,55.4288,39.1461,2.0506,30.7049,1.8052
2012-08-15T11:00:38,871.9,48.0,0.3,59.2668,40.2113,2.1163,31.6989,1.8697
2012-08-15T11:15:37,948.3,51.8,0.4,63.6991,39.876,2.3109,31.2083,2.0411
2012-08-15T11:30:38,395.8,52.2,0.4,26.502,37.696,1.0205,30.0627,0.8816
2012-08-15T11:45:38,963.9,49.3,0.3,65.2033,40.2706,2.333,31.5883,2.0642
2012-08-15T12:15:38,334.1,46.5,0.4,22.5142,38.215,0.8541,30.6442,0.7347
2012-08-15T12:30:38,362.4,45.3,0.4,24.5235,38.5814,0.9176,30.9737,0.7918
2012-08-15T13:00:38,325.2,45.4,0.4,21.9858,38.2898,0.8325,30.7277,0.7155
2012-08-15T13:15:38,316.4,43.8,0.4,21.2133,38.3814,0.8025,30.8235,0.6882
2012-08-15T13:45:38,280.1,43.5,0.5,18.6532,38.147,0.7138,30.6152,0.6093
2012-08-15T14:00:38,284.9,40.5,0.5,19.1826,38.6494,0.721,31.0921,0.617
2012-08-15T14:15:38,317.9,40.3,0.5,21.676,38.9002,0.8053,31.3231,0.692
2012-08-15T14:30:38,305.5,45.8,0.5,20.4677,38.042,0.7827,30.5076,0.6709
2012-08-15T14:45:38,716.5,51.7,0.4,47.11,39.1509,1.732,30.9772,1.5208
2012-08-15T15:00:38,275.5,43.9,0.5,18.0768,38.0376,0.6927,30.5104,0.5925
2012-08-15T15:15:38,188.7,37.8,0.6,12.0503,37.8457,0.4756,30.2907,0.3978
2012-08-15T15:30:37,179.5,36.5,0.6,11.5,37.9438,0.454,30.3831,0.3785
2012-08-15T15:45:37,500.7,37.0,0.4,33.3326,40.3454,1.1736,32.5364,1.0245
2012-08-15T16:00:38,153.2,38.6,0.7,9.8681,37.2791,0.4016,29.7186,0.3321
