Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2012-08-14T06:15:03,71.3,15.1,1.6,2.8754,24.1784,0.3817,13.6137,0.2112
2012-08-14T06:30:03,105.8,16.3,1.2,5.1374,28.433,0.5311,16.9175,0.3037
2012-08-14T06:45:03,147.6,18.9,0.9,8.9091,31.866,0.7387,20.1754,0.4416
2012-08-14T07:00:03,201.0,22.3,0.7,15.029,34.5214,1.0331,23.1125,0.6503
2012-08-14T07:15:03,257.2,25.9,0.6,22.8057,36.1528,1.3742,25.0814,0.9093
2012-08-14T07:30:03,312.4,29.7,0.5,30.9449,37.001,1.7179,26.2241,1.18
2012-08-14T07:45:03,369.0,33.6,0.5,39.4943,37.4363,2.0789,26.8777,1.4694
2012-08-14T08:00:03,427.5,35.2,0.5,48.7623,37.9804,2.4552,27.4922,1.7737
2012-08-14T08:15:03,484.8,39.9,0.5,56.8706,37.891,2.8183,27.4836,2.0693
2012-08-14T08:30:03,540.3,42.6,0.4,64.7222,37.9687,3.1677,27.5674,2.3478
2012-08-14T08:45:03,593.0,45.3,0.4,71.7438,37.9483,3.4934,27.4553,2.6131
2012-08-14T09:00:03,649.4,48.6,0.4,78.5317,37.8444,3.8341,27.2151,2.8856
2012-08-14T09:15:03,701.6,49.4,0.4,85.3758,37.9619,4.1574,27.1488,3.1447
2012-08-14T09:30:03,744.1,49.7,0.4,90.8958,38.1222,4.4122,27.1614,3.3465
2012-08-14T09:45:03,790.2,51.2,0.4,95.9452,38.0902,4.681,26.9503,3.5601
2012-08-14T10:00:03,832.3,53.9,0.4,99.602,37.8609,4.9315,26.5194,3.7558
2012-08-14T10:15:03,869.5,52.7,0.4,104.5831,38.1397,5.1504,26.6195,3.9288
2012-08-14T10:30:03,902.9,55.1,0.4,106.946,37.961,5.3427,26.2537,4.0736
2012-08-14T10:45:03,952.0,58.2,0.4,110.3475,37.6938,5.6258,25.7621,4.2833
