Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2012-08-14T06:15:53,73.1,16.5,1.1,3.6114,79.6054,0.0777,60.0025,0.0602
2012-08-14T06:30:53,107.6,17.9,0.9,5.0751,80.984,0.1057,62.0884,0.0817
2012-08-14T06:45:53,149.6,20.0,0.7,7.0318,81.9221,0.1427,62.3377,0.1128
2012-08-14T07:00:53,204.3,23.1,0.5,9.9374,82.619,0.1968,63.1402,0.1574
2012-08-14T07:15:53,260.4,26.2,0.5,13.607,83.0083,0.2591,63.661,0.2137
2012-08-14T07:30:52,317.2,29.6,0.5,18.0052,82.9988,0.3243,65.5399,0.2747
2012-08-14T07:45:53,371.1,33.0,0.4,21.6221,82.7757,0.3891,65.1148,0.3321
2012-08-14T08:00:53,429.3,34.9,0.4,25.6281,82.9418,0.4598,64.8708,0.3951
2012-08-14T08:15:53,487.3,38.4,0.4,29.3463,82.5701,0.53,64.1642,0.4574
2012-08-14T08:30:53,541.6,42.0,0.4,32.7959,82.187,0.5976,63.4772,0.5167
2012-08-14T08:45:53,597.4,43.9,0.4,36.2893,82.025,0.6653,62.9447,0.5765
2012-08-14T09:00:53,652.4,47.4,0.4,39.5623,81.6171,0.7331,62.2361,0.6357
2012-08-14T09:15:53,703.4,48.5,0.3,42.8419,81.7361,0.7959,61.9999,0.691
2012-08-14T09:30:53,747.7,49.3,0.3,45.4814,81.7647,0.8492,61.6867,0.7373
2012-08-14T09:45:53,790.5,50.5,0.3,47.9617,81.7036,0.8994,61.3602,0.7816
2012-08-14T10:00:53,836.1,53.1,0.3,50.4649,81.2933,0.9584,60.6854,0.8316
2012-08-14T10:15:53,873.3,53.6,0.3,52.6935,81.3568,1.004,60.4922,0.8711
2012-08-14T10:30:53,904.6,54.2,0.3,54.361,81.3863,1.039,60.3424,0.9009
2012-08-14T10:45:53,950.2,56.2,0.3,56.614,80.8873,1.0958,59.6076,0.9498
2012-08-14T11:00:53,959.3,56.3,0.4,57.0783,81.091,1.1026,59.7563,0.9552
2012-08-14T11:15:53,1021.1,58.6,0.3,60.4168,80.8376,1.1817,59.0826,1.0226
2012-08-14T12:00:53,1034.0,60.2,0.4,60.5289,80.393,1.193,58.6589,1.0319
2012-08-14T12:15:53,1019.8,60.1,0.4,59.7294,80.2407,1.1782,58.6287,1.0188
2012-08-14T12:30:53,1018.8,59.3,0.4,59.7829,80.4599,1.1759,58.8138,1.0165
2012-08-14T12:45:53,1013.7,62.8,0.4,58.8146,79.6158,1.1704,58.1504,1.0114
2012-08-14T13:00:53,1003.6,63.8,0.4,57.9487,79.3935,1.1547,58.0324,0.9986
2012-08-14T13:15:54,984.0,57.2,0.4,58.1237,80.6728,1.1326,59.2463,0.9811
2012-08-14T13:30:54,956.3,60.6,0.4,55.9303,80.1769,1.0933,59.0496,0.9472
2012-08-14T13:45:53,949.2,60.9,0.4,55.492,80.0775,1.0861,59.0085,0.9404
2012-08-14T14:00:53,899.8,58.4,0.4,53.1658,80.5003,1.0258,59.7003,0.8905
2012-08-14T14:15:53,860.3,57.5,0.4,50.8027,80.4863,0.9764,59.9778,0.847
2012-08-14T14:30:54,828.1,58.1,0.4,48.6421,79.9407,0.9378,59.7418,0.8142
2012-08-14T15:15:53,707.4,50.8,0.3,42.1389,81.3334,0.7859,61.7607,0.6823
2012-08-14T15:30:53,166.6,40.9,0.5,10.2946,78.13,0.2011,61.8881,0.1663
2012-08-14T15:45:53,524.1,39.4,0.4,30.8997,82.8445,0.5561,64.2847,0.4807
2012-08-14T16:00:53,462.7,45.0,0.4,26.8169,80.9138,0.4929,63.1433,0.4247
2012-08-14T16:30:53,189.2,40.7,0.6,11.2488,78.4403,0.2181,62.1646,0.181
2012-08-14T16:45:53,116.2,37.6,0.7,6.9042,77.1521,0.1411,60.3976,0.1143
2012-08-14T17:00:53,108.1,33.3,0.7,6.0279,77.6545,0.124,60.4002,0.0998
2012-08-14T17:15:53,166.8,33.0,0.6,8.6168,79.2927,0.1683,62.4858,0.1379
2012-08-14T17:30:53,108.4,32.8,0.7,6.0453,77.8042,0.1245,60.3839,0.1001
2012-08-14T17:45:53,112.8,32.1,0.7,5.4739,77.5907,0.1157,59.5403,0.0919
2012-08-14T18:00:54,60.9,30.5,1.1,3.2579,75.3402,0.0739,56.4634,0.0577
2012-08-15T06:15:53,65.8,23.5,1.1,3.3537,77.6334,0.0743,58.2086,0.0576
2012-08-15T06:30:54,92.9,24.1,0.9,4.8617,79.2381,0.1012,60.6791,0.0801
2012-08-15T06:45:53,127.3,25.3,0.7,6.6546,80.3745,0.1327,62.5852,0.1063
2012-08-15T07:00:53,165.2,26.6,0.6,8.6815,81.1122,0.1676,63.9036,0.1359
2012-08-15T07:15:53,207.6,28.0,0.5,11.1088,81.6978,0.2086,64.7099,0.1717
2012-08-15T07:30:53,254.7,29.6,0.5,13.9749,82.1458,0.2569,65.1208,0.2146
2012-08-15T07:45:53,302.6,31.3,0.5,16.9401,82.4275,0.3077,65.2362,0.2597
2012-08-15T08:00:53,351.9,33.4,0.4,19.969,82.4953,0.3609,65.0468,0.307
2012-08-15T08:15:53,403.7,35.7,0.4,23.3238,82.5269,0.4207,64.7683,0.3601
