Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2012-08-14T06:15:05,71.4,14.4,1.2,12.81,46.724,0.3451,39.7632,0.3222
2012-08-14T06:30:05,105.9,15.5,0.9,18.2433,47.273,0.4831,40.3383,0.4523
2012-08-14T06:45:05,147.7,17.7,0.7,25.6333,47.7376,0.6724,40.6228,0.631
2012-08-14T07:00:05,201.1,20.7,0.6,36.0499,48.0125,0.9395,40.8214,0.8831
2012-08-14T07:15:05,257.3,23.9,0.5,47.8341,48.2068,1.2475,40.846,1.1711
2012-08-14T07:30:05,312.6,27.5,0.5,59.5818,48.1914,1.5605,40.6916,1.4642
2012-08-14T07:45:05,369.1,31.2,0.5,71.6285,48.1142,1.8859,40.5192,1.7678
2012-08-14T08:00:05,427.8,33.3,0.4,84.4892,48.2042,2.2287,40.4491,2.0888
2012-08-14T08:15:05,485.1,37.3,0.4,96.0154,47.9831,2.5589,40.1147,2.3935
2012-08-14T08:30:05,540.4,40.5,0.4,107.0598,47.8237,2.8768,39.8411,2.6872
2012-08-14T08:45:05,593.1,43.0,0.4,117.2556,47.7055,3.1742,39.5923,2.9616
2012-08-14T09:00:05,649.0,46.4,0.4,127.5906,47.487,3.4882,39.2494,3.2508
2012-08-14T09:15:05,701.5,47.7,0.4,137.8706,47.4805,3.7853,39.1406,3.5224
2012-08-14T09:30:05,744.3,48.0,0.4,146.1499,47.5384,4.0167,39.0876,3.739
2012-08-14T09:45:05,790.2,49.3,0.4,154.4456,47.478,4.2645,38.9289,3.9674
2012-08-14T10:00:05,832.0,51.7,0.4,161.4449,47.2736,4.4989,38.6405,4.1781
2012-08-14T10:15:05,869.7,52.1,0.4,168.8128,47.37,4.7042,38.6391,4.369
2012-08-14T10:30:05,903.0,52.9,0.4,174.5376,47.2607,4.89,38.4579,4.5384
2012-08-14T10:45:05,951.9,56.2,0.4,181.9845,46.9908,5.1624,38.0727,4.7799
2012-08-14T11:00:05,960.1,54.8,0.4,184.694,47.208,5.2071,38.2877,4.8238
2012-08-14T11:15:05,1012.6,56.6,0.4,192.8276,47.0217,5.486,37.9864,5.0762
2012-08-14T11:30:05,1045.6,59.1,0.4,198.0384,46.8006,5.6894,37.6662,5.2577
2012-08-14T11:45:05,1018.3,56.9,0.4,194.6693,47.0345,5.5393,37.9762,5.1261
2012-08-14T12:00:05,1019.9,59.9,0.4,192.4183,46.645,5.545,37.5803,5.1202
2012-08-14T12:15:05,1023.1,59.6,0.4,192.9589,46.6913,5.5573,37.6141,5.13
2012-08-14T12:30:05,1013.8,59.1,0.4,191.7805,46.735,5.5129,37.6798,5.0897
2012-08-14T12:45:05,1016.4,62.1,0.4,189.9217,46.3442,5.5288,37.2628,5.0968
2012-08-14T13:00:05,1008.6,62.5,0.4,187.5417,46.208,5.4765,37.1509,5.0481
2012-08-14T13:15:05,984.0,63.7,0.4,183.0887,46.1,5.3521,37.1038,4.9345
2012-08-14T13:30:05,957.8,63.3,0.4,177.923,46.0872,5.1915,37.144,4.7901
2012-08-14T13:45:05,943.3,62.8,0.4,175.4257,46.109,5.1121,37.196,4.7163
2012-08-14T14:00:05,903.0,60.8,0.4,169.2791,46.2311,4.9012,37.4104,4.5249
2012-08-14T14:15:05,857.5,60.3,0.4,160.8647,46.2517,4.6387,37.5332,4.2859
2012-08-14T14:30:05,832.0,59.3,0.4,156.6934,46.3352,4.4984,37.6789,4.1587
2012-08-14T14:45:05,784.1,59.5,0.4,148.0453,46.1501,4.2574,37.5851,3.9389
2012-08-14T15:15:05,708.9,53.2,0.4,136.272,46.7928,3.8213,38.409,3.5479
2012-08-14T15:30:05,168.7,41.7,0.6,31.8779,45.1617,0.9047,37.8663,0.8419
2012-08-14T15:45:05,532.3,38.9,0.4,105.9553,48.0191,2.8287,40.0468,2.6458
2012-08-14T16:00:05,463.6,45.6,0.4,89.2196,46.8353,2.4533,38.9785,2.2889
2012-08-14T16:15:05,199.1,41.9,0.6,37.2142,45.4753,1.048,38.1252,0.9761
2012-08-14T16:45:05,171.7,37.7,0.7,32.0003,45.6697,0.8936,38.3924,0.8335
2012-08-14T17:00:05,102.6,32.8,0.8,19.4187,45.2156,0.5475,38.0851,0.5099
2012-08-14T17:15:05,174.0,32.3,0.6,31.0579,46.2652,0.85,39.0247,0.7959
2012-08-14T17:30:05,106.4,32.0,0.8,20.3425,45.4251,0.5703,38.2825,0.5314
2012-08-14T17:45:05,115.4,31.1,0.8,20.041,45.519,0.5605,38.3639,0.5224
2012-08-14T18:00:05,63.1,29.4,1.2,12.2165,44.6825,0.3497,37.6604,0.3244
2012-08-15T06:15:05,64.6,22.2,1.2,13.0275,45.7478,0.3612,38.7499,0.3362
2012-08-15T06:30:05,91.2,22.8,0.9,17.8012,46.3224,0.4852,39.2742,0.4533
2012-08-15T06:45:05,125.4,23.8,0.8,23.89,46.7695,0.6433,39.6894,0.6019
2012-08-15T07:00:05,162.6,25.2,0.6,30.7677,47.1586,0.8213,39.9554,0.77
2012-08-15T07:15:05,205.0,26.6,0.6,39.0583,47.4603,1.0357,40.187,0.9719
2012-08-15T07:30:05,251.3,28.2,0.5,48.4303,47.7055,1.2813,40.322,1.2011
2012-08-15T07:45:05,299.7,29.9,0.5,58.42,47.8726,1.5433,40.3818,1.4467
2012-08-15T08:00:05,350.7,32.1,0.5,68.8812,47.9407,1.8221,40.3431,1.7074
2012-08-15T08:15:05,401.5,34.3,0.4,79.5834,47.9664,2.1112,40.2492,1.9773
