Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2012-08-14T06:15:09,71.5,14.5,1.5,6.579,194.714,0.0542,148.3711,0.0443
2012-08-14T06:30:10,106.1,15.7,1.1,9.1152,198.3761,0.074,151.9535,0.06
2012-08-14T06:45:09,147.7,17.9,0.9,12.4838,200.8662,0.1003,152.7636,0.0817
2012-08-14T07:00:09,201.4,21.0,0.7,17.2019,202.7761,0.1363,153.4346,0.1121
2012-08-14T07:15:10,257.6,24.4,0.6,22.6876,203.9473,0.1783,154.2237,0.1471
2012-08-14T07:30:09,313.1,28.1,0.5,28.173,204.0536,0.2208,154.2332,0.1827
2012-08-14T07:45:09,369.2,31.7,0.5,33.8848,203.6393,0.2667,153.6059,0.2206
2012-08-14T08:00:09,428.1,33.5,0.4,40.3631,204.8555,0.3163,154.1704,0.2618
2012-08-14T08:15:10,485.7,37.4,0.4,46.1137,203.4223,0.3647,152.8619,0.3017
2012-08-14T08:30:10,540.9,40.2,0.4,51.8016,202.8132,0.4121,151.9953,0.3408
2012-08-14T08:45:10,593.3,42.6,0.4,57.2094,202.3279,0.4575,151.2805,0.3782
2012-08-14T09:00:10,648.8,46.0,0.3,62.8161,200.9843,0.5073,149.983,0.4188
2012-08-14T09:15:09,701.5,46.8,0.3,68.7605,201.5141,0.5558,149.9953,0.4584
2012-08-14T09:30:10,744.7,47.1,0.3,73.1339,201.9712,0.5912,150.0773,0.4873
2012-08-14T09:45:10,789.7,48.7,0.3,77.649,201.8033,0.6292,149.659,0.5188
2012-08-14T10:00:09,832.1,51.2,0.3,81.7922,200.6108,0.669,148.4626,0.5509
2012-08-14T10:15:09,870.3,51.2,0.3,85.9073,201.0788,0.7023,148.5812,0.5782
2012-08-14T10:30:10,903.1,52.3,0.3,88.7737,200.5781,0.7284,148.0242,0.5997
2012-08-14T10:45:09,951.5,55.6,0.3,93.0815,198.5584,0.7743,146.1088,0.6371
2012-08-14T11:00:09,959.6,54.3,0.3,93.7781,200.0293,0.7734,147.3553,0.6364
2012-08-14T11:15:09,1013.2,56.4,0.3,99.0964,199.0964,0.824,146.2218,0.6777
2012-08-14T11:30:10,1046.5,58.6,0.3,100.1208,197.4685,0.8376,145.0772,0.6901
2012-08-14T11:45:10,1020.1,56.7,0.3,98.5891,198.7792,0.82,146.1355,0.6746
2012-08-14T12:00:09,1022.5,59.1,0.3,98.4336,196.8279,0.8279,144.5361,0.681
2012-08-14T12:15:09,1022.3,59.2,0.3,98.7471,196.7999,0.8319,144.4346,0.6837
2012-08-14T12:30:09,1011.7,58.9,0.3,97.5345,196.9103,0.8199,144.6391,0.6743
2012-08-14T12:45:10,1016.0,62.3,0.3,96.6256,194.2081,0.8253,142.5222,0.678
2012-08-14T13:00:10,1009.4,62.5,0.3,96.1785,194.0044,0.8219,142.3179,0.6758
2012-08-14T13:15:10,983.4,61.3,0.3,94.0403,194.3356,0.801,142.732,0.6589
2012-08-14T13:30:10,957.3,61.4,0.3,91.0488,194.2065,0.7746,142.8263,0.6375
2012-08-14T13:45:10,944.9,62.3,0.3,89.741,193.7012,0.766,142.4763,0.6299
2012-08-14T14:00:09,901.9,60.2,0.3,85.9777,194.4615,0.7286,143.3754,0.5997
2012-08-14T14:15:10,857.0,60.2,0.3,81.116,194.0666,0.687,143.3999,0.5657
2012-08-14T14:30:10,831.8,58.8,0.3,78.5484,194.2034,0.6636,143.7056,0.5466
2012-08-14T14:45:09,785.1,59.2,0.3,71.7146,192.9378,0.6029,143.5735,0.4995
2012-08-14T15:15:09,709.0,52.2,0.3,66.2951,197.1762,0.5437,147.1741,0.4505
2012-08-14T15:30:10,168.3,40.1,0.7,16.9701,187.4543,0.1373,145.1023,0.117
2012-08-14T15:45:09,531.9,38.3,0.4,47.2484,203.9295,0.3663,154.4257,0.306
2012-08-14T16:00:09,463.5,45.3,0.4,40.304,195.8777,0.3254,148.2717,0.2718
2012-08-14T17:00:10,102.9,32.0,1.0,9.9233,185.9978,0.0846,141.1665,0.0703
2012-08-14T17:15:09,174.3,32.0,0.7,14.0622,191.4128,0.1167,145.7102,0.0965
2012-08-14T17:30:09,106.3,31.6,0.9,10.3253,186.8236,0.0881,141.4851,0.073
2012-08-14T17:45:10,115.1,30.7,1.0,9.5128,186.6088,0.0822,141.3041,0.0673
2012-08-14T18:00:10,62.7,28.9,1.5,6.0137,181.3238,0.0539,136.7147,0.044
2012-08-15T06:15:09,64.7,22.0,1.7,5.5149,186.7067,0.0469,142.4487,0.0387
2012-08-15T06:30:09,91.4,22.8,1.3,7.8242,190.967,0.065,145.6329,0.0537
2012-08-15T06:45:09,125.6,23.7,1.0,10.5625,194.3191,0.086,148.2947,0.0712
2012-08-15T07:00:10,162.8,25.1,0.8,13.5307,196.6993,0.1086,150.0886,0.0902
2012-08-15T07:15:10,205.2,26.6,0.7,16.9522,198.7106,0.1342,151.6844,0.1118
2012-08-15T07:30:09,251.5,28.2,0.6,20.9727,200.3509,0.1645,152.9781,0.1371
2012-08-15T07:45:10,300.1,30.0,0.6,25.3886,201.6813,0.198,153.6833,0.1652
2012-08-15T08:00:09,351.0,32.2,0.5,30.054,202.2954,0.2335,154.0226,0.1951
2012-08-15T08:15:09,402.5,34.3,0.5,35.1986,202.8054,0.2736,153.9944,0.2286
2012-08-15T08:30:09,474.3,37.0,0.4,42.7032,203.3952,0.332,154.0255,0.2772
2012-08-15T08:45:09,525.5,39.4,0.4,47.8519,203.0255,0.3738,153.3817,0.312
2012-08-15T09:00:09,569.8,41.5,0.4,52.0993,202.5639,0.409,152.7498,0.3411
2012-08-15T09:15:09,627.7,45.9,0.4,57.522,200.1288,0.4586,150.4708,0.3823
2012-08-15T09:30:09,678.7,49.1,0.3,62.5784,198.8196,0.5041,149.124,0.4196
2012-08-15T09:45:10,721.7,50.7,0.3,66.7255,198.3205,0.5405,148.3949,0.4496
2012-08-15T10:00:09,755.8,51.0,0.3,70.2864,198.8632,0.5691,148.5803,0.4731
2012-08-15T10:15:09,808.2,52.0,0.3,75.6269,198.9798,0.6146,148.2552,0.5101
2012-08-15T10:30:10,835.0,54.0,0.3,77.3792,197.5649,0.6338,147.0378,0.5263
2012-08-15T10:45:09,830.6,54.1,0.3,73.581,197.1451,0.5965,147.6121,0.4985
2012-08-15T11:00:09,871.0,47.9,0.3,80.4469,203.6598,0.6353,152.0754,0.529
2012-08-15T11:30:10,952.6,53.3,0.3,84.5522,200.1552,0.6769,149.5585,0.5653
2012-08-15T11:45:09,964.6,50.2,0.3,85.4268,202.971,0.6732,151.812,0.5627
2012-08-15T12:00:09,950.5,55.5,0.3,84.6549,198.1309,0.6881,147.644,0.5734
2012-08-15T12:15:09,336.9,48.1,0.4,35.3223,191.1259,0.2911,143.7282,0.2458
2012-08-15T13:00:10,322.4,46.5,0.4,34.011,191.8656,0.2786,144.401,0.2355
2012-08-15T13:15:10,325.0,45.3,0.4,33.6485,192.5968,0.2788,144.63,0.2327
2012-08-15T13:30:09,356.9,42.3,0.4,37.6665,196.6122,0.3027,147.8067,0.2548
2012-08-15T13:45:09,280.5,43.9,0.5,29.3497,191.5602,0.2417,144.3147,0.2034
2012-08-15T14:00:10,284.9,40.6,0.5,29.6033,194.5759,0.2421,146.4604,0.2021
2012-08-15T14:15:09,313.0,41.2,0.5,32.5161,195.3563,0.2658,146.8148,0.2215
2012-08-15T14:30:09,297.3,47.0,0.5,30.6579,189.7908,0.256,142.6877,0.2149
