Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2012-08-14T06:15:25,72.0,14.4,1.1,2.5183,54.417,0.0762,41.698,0.0604
2012-08-14T06:30:25,106.7,16.0,0.9,3.5326,55.1689,0.1044,42.4354,0.0832
2012-08-14T06:45:25,148.7,18.3,0.7,4.822,55.6095,0.1408,42.8939,0.1124
2012-08-14T07:00:25,202.4,21.5,0.6,6.6587,55.8863,0.1928,43.13,0.1544
2012-08-14T07:15:25,259.2,24.9,0.5,8.8129,55.9878,0.2548,43.1749,0.2041
2012-08-14T07:30:24,314.6,28.4,0.5,10.9771,55.9302,0.3173,43.0625,0.2549
2012-08-14T07:45:25,370.2,32.0,0.5,13.189,55.6998,0.3828,42.8159,0.308
2012-08-14T08:00:25,428.6,33.5,0.5,15.6619,55.8711,0.4541,42.797,0.366
2012-08-14T08:15:25,486.3,37.3,0.4,17.9375,55.5161,0.5238,42.4045,0.423
2012-08-14T08:30:25,541.7,40.4,0.4,20.1302,55.1689,0.5925,42.0062,0.4792
2012-08-14T08:45:25,594.4,42.7,0.4,22.2247,55.0553,0.6564,41.8117,0.5315
2012-08-14T09:00:25,649.3,46.1,0.4,24.3529,54.6412,0.7254,41.3524,0.5889
2012-08-14T09:15:25,702.1,46.7,0.4,26.604,54.7361,0.7927,41.3072,0.6441
2012-08-14T09:30:25,745.6,47.7,0.4,28.228,54.6988,0.8434,41.1777,0.6855
2012-08-14T09:45:25,789.5,48.9,0.4,29.8861,54.6381,0.8962,41.0332,0.7283
2012-08-14T10:00:25,833.6,51.8,0.4,31.5761,54.3127,0.9537,40.6816,0.7762
2012-08-14T10:15:25,871.6,52.3,0.4,32.979,54.3065,0.9979,40.6015,0.8123
2012-08-14T10:30:25,902.7,53.7,0.4,33.9304,54.0714,1.033,40.3498,0.8409
2012-08-14T10:45:25,950.2,56.5,0.4,35.619,53.6635,1.0939,39.9322,0.892
2012-08-14T11:00:25,959.0,54.9,0.4,35.8294,53.964,1.0971,40.1404,0.8926
2012-08-14T11:15:25,1012.9,57.7,0.4,37.8917,53.7476,1.1664,39.8593,0.9506
2012-08-14T12:00:25,1029.6,59.0,0.4,38.1532,53.4767,1.1827,39.6104,0.9632
2012-08-14T12:15:25,1019.4,59.4,0.4,37.701,53.2245,1.1722,39.4387,0.9559
2012-08-14T12:45:25,1015.9,61.9,0.4,37.1841,52.6967,1.1677,39.0386,0.9525
2012-08-14T13:00:25,1007.5,63.4,0.4,36.6749,52.3698,1.1567,38.8033,0.9451
2012-08-14T13:15:25,984.1,62.0,0.4,36.1798,52.7419,1.131,39.1384,0.9244
2012-08-14T13:30:25,957.0,62.3,0.4,34.8634,52.5659,1.0916,39.0696,0.8923
2012-08-14T13:45:25,947.5,62.5,0.4,34.5039,52.4663,1.0805,39.0267,0.8841
2012-08-14T14:00:25,899.3,59.7,0.4,32.9124,52.8524,1.0216,39.4386,0.8345
2012-08-14T14:15:25,857.6,59.8,0.4,31.2526,52.7854,0.9688,39.4731,0.7917
2012-08-14T14:30:25,829.8,58.7,0.4,30.1374,52.7979,0.9326,39.571,0.7616
2012-08-14T14:45:25,787.9,57.8,0.4,27.9949,52.7263,0.8717,39.5539,0.7078
2012-08-14T15:15:25,708.5,50.8,0.4,25.553,53.8145,0.7752,40.601,0.6294
2012-08-14T15:30:25,167.1,39.8,0.6,6.6185,52.1803,0.1977,40.8737,0.1619
2012-08-14T15:45:25,529.4,37.3,0.4,18.2252,55.5239,0.5407,42.2728,0.4311
2012-08-14T16:00:25,463.1,43.8,0.4,15.7401,53.7429,0.4777,41.0362,0.3836
2012-08-14T16:15:25,226.9,40.5,0.5,8.3893,52.5753,0.2519,40.7793,0.2057
2012-08-14T16:30:25,154.5,39.9,0.6,6.4056,51.9317,0.1927,40.5841,0.1578
2012-08-14T16:45:25,125.3,36.2,0.7,4.9038,51.87,0.1496,40.3988,0.1214
2012-08-14T17:00:25,103.7,32.0,0.8,3.8157,51.9603,0.1177,40.2451,0.0948
2012-08-14T17:15:25,171.6,31.6,0.6,5.3461,53.0013,0.1637,40.8174,0.131
2012-08-14T17:30:25,106.7,31.3,0.8,3.9661,52.1876,0.1222,40.391,0.0982
2012-08-14T17:45:25,114.5,30.5,0.8,3.6239,52.007,0.1135,39.987,0.0906
2012-08-14T18:00:25,62.3,28.9,1.1,2.2762,50.7569,0.074,38.7275,0.0588
2012-08-15T06:15:25,65.1,22.0,1.2,2.1526,52.0117,0.0699,39.3999,0.0546
2012-08-15T06:30:25,92.0,22.7,0.9,3.0815,53.1342,0.0968,40.5364,0.076
2012-08-15T06:45:25,126.2,23.7,0.8,4.1636,53.9391,0.1279,41.3034,0.1008
2012-08-15T07:00:25,163.5,25.1,0.6,5.3241,54.394,0.1612,41.782,0.1274
2012-08-15T07:15:25,206.0,26.6,0.6,6.6788,54.7726,0.2003,42.1268,0.1585
2012-08-15T07:30:25,252.4,28.3,0.5,8.2621,55.0537,0.246,42.336,0.1952
2012-08-15T07:45:25,301.0,30.2,0.5,9.9893,55.2094,0.2962,42.4403,0.2354
2012-08-15T08:00:25,351.4,32.3,0.5,11.8043,55.2608,0.3498,42.4045,0.2784
2012-08-15T08:15:25,402.3,34.6,0.5,13.8094,55.2764,0.4086,42.3463,0.3261
2012-08-15T08:30:25,475.6,37.3,0.4,16.7544,55.3044,0.4967,42.207,0.397
2012-08-15T08:45:25,526.4,40.0,0.4,18.7412,55.1129,0.5576,41.9454,0.4468
2012-08-15T09:00:25,571.6,42.1,0.4,20.4294,54.9167,0.6109,41.6857,0.4901
2012-08-15T09:15:25,629.0,46.7,0.4,22.5395,54.2815,0.6823,41.0817,0.5487
2012-08-15T09:30:25,679.2,49.8,0.4,24.4323,53.8519,0.7464,40.6142,0.6016
2012-08-15T09:45:25,719.5,51.6,0.4,25.9328,53.6977,0.7954,40.4153,0.6417
2012-08-15T10:00:25,755.3,51.5,0.4,27.3672,53.8814,0.8383,40.4879,0.6759
2012-08-15T10:15:25,810.5,52.7,0.4,29.4315,53.8363,0.9035,40.3428,0.7295
2012-08-15T10:30:25,836.7,55.2,0.4,30.1125,53.4284,0.9322,39.9568,0.7536
2012-08-15T10:45:25,840.1,55.0,0.4,28.8527,53.2774,0.9049,39.8677,0.7237
2012-08-15T11:00:25,872.0,47.7,0.4,31.1547,55.0397,0.9449,41.1498,0.7571
2012-08-15T11:45:25,964.4,49.7,0.4,33.0966,54.8295,1.0173,40.8311,0.8106
2012-08-15T12:15:25,335.3,48.4,0.4,13.8021,52.564,0.4142,40.567,0.3402
2012-08-15T12:30:25,368.6,46.2,0.4,15.0802,53.2349,0.4481,41.0314,0.3675
2012-08-15T13:00:25,323.6,46.0,0.4,13.3763,52.8742,0.3993,40.8517,0.3274
2012-08-15T13:15:25,320.3,44.2,0.4,12.8624,53.124,0.3835,41.0205,0.3136
2012-08-15T13:30:25,364.9,41.7,0.4,15.0271,54.1373,0.4392,41.753,0.3599
2012-08-15T13:45:25,280.4,43.8,0.5,11.4428,52.8235,0.3418,40.9022,0.2798
2012-08-15T14:00:25,284.8,40.5,0.5,11.4485,53.5544,0.3388,41.4335,0.2763
