Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2012-08-14T06:15:47,72.8,16.7,1.3,4.1489,20.612,0.3265,15.9748,0.2597
2012-08-14T06:30:47,107.6,18.0,1.1,5.7402,20.9246,0.4462,16.2846,0.3525
2012-08-14T06:45:46,149.3,19.9,0.9,7.7243,21.0755,0.5893,16.3582,0.4722
2012-08-14T07:00:46,203.8,24.1,0.7,10.5216,21.1569,0.7936,16.3773,0.6425
2012-08-14T07:15:47,260.2,25.4,0.7,13.7131,21.218,1.0283,16.3934,0.8365
2012-08-14T07:30:46,316.3,30.3,0.6,16.8905,21.1313,1.2701,16.2959,1.0365
2012-08-14T07:45:47,370.8,33.2,0.6,20.0179,20.9659,1.5173,16.1145,1.2422
2012-08-14T08:00:46,429.8,35.0,0.6,23.7684,21.128,1.794,16.1744,1.4695
2012-08-14T08:15:47,486.9,39.6,0.6,26.9635,20.8567,2.0655,15.9092,1.6948
2012-08-14T08:30:47,541.6,42.1,0.6,30.1072,20.729,2.3278,15.7521,1.9113
2012-08-14T08:45:47,596.7,44.9,0.6,33.3771,20.6788,2.6009,15.6422,2.1338
2012-08-14T09:00:46,652.1,47.0,0.6,36.4453,20.4976,2.8803,15.4347,2.3613
2012-08-14T09:15:47,702.9,46.8,0.5,39.7446,20.664,3.1361,15.4927,2.5654
2012-08-14T09:30:47,747.4,48.5,0.5,42.1633,20.6013,3.3498,15.399,2.7381
2012-08-14T09:45:47,790.8,49.2,0.5,44.5383,20.5823,3.5562,15.3356,2.9042
2012-08-14T10:00:47,835.3,52.1,0.5,46.9699,20.4214,3.796,15.1641,3.0974
2012-08-14T10:15:46,872.0,53.8,0.5,48.9756,20.4003,3.9768,15.1056,3.2422
2012-08-14T10:30:47,904.4,53.2,0.6,50.5878,20.3995,4.1162,15.0807,3.3545
2012-08-14T10:45:47,949.7,56.2,0.6,52.7889,20.1665,4.3685,14.841,3.557
2012-08-14T11:00:47,958.9,55.4,0.6,53.3327,20.3657,4.3622,15.0071,3.5538
2012-08-14T11:15:47,1017.3,58.0,0.6,56.6223,20.2299,4.7015,14.8199,3.8207
2012-08-14T12:00:47,1033.9,59.6,0.6,56.8495,20.1031,4.7426,14.724,3.861
2012-08-14T12:15:47,1019.6,59.7,0.6,56.139,20.0795,4.6897,14.7134,3.8155
2012-08-14T12:30:47,1020.1,58.9,0.6,56.0701,20.1189,4.6661,14.756,3.7998
2012-08-14T12:45:47,1014.8,62.3,0.3,55.0903,19.7997,4.6601,14.5056,3.7979
2012-08-14T13:00:47,1003.1,59.9,0.3,54.7054,19.8861,4.6107,14.5762,3.7531
2012-08-14T13:15:47,984.3,52.0,0.6,55.2545,20.5186,4.5115,15.0802,3.664
2012-08-14T13:30:47,956.9,56.0,0.6,52.8324,20.2094,4.3613,14.8796,3.5507
2012-08-14T13:45:47,950.4,55.9,0.6,52.4846,20.1622,4.3469,14.8404,3.5366
2012-08-14T14:00:47,900.0,52.7,0.6,50.3262,20.4587,4.0869,15.1228,3.3278
2012-08-14T14:15:47,859.9,53.6,0.6,47.6995,20.2814,3.8884,15.0372,3.1721
2012-08-14T14:30:47,828.7,57.1,0.3,45.2826,19.9381,3.7392,14.8086,3.0579
2012-08-14T15:00:47,279.2,51.0,0.4,17.5839,19.1398,1.4488,14.6498,1.2003
2012-08-14T15:15:47,707.4,49.0,0.5,38.7152,20.4052,3.0578,15.3768,2.5178
2012-08-14T15:30:47,166.9,35.3,0.6,10.2338,19.7672,0.8136,15.3439,0.667
2012-08-14T15:45:46,525.2,37.7,0.6,27.3985,20.8919,2.045,16.1351,1.6981
2012-08-14T16:00:47,462.5,45.0,0.6,23.8636,20.194,1.8385,15.6191,1.5278
2012-08-14T16:30:47,193.7,37.5,0.6,11.6297,19.7265,0.9379,15.1898,0.7656
2012-08-14T16:45:47,116.9,34.3,0.8,7.173,19.4127,0.5834,15.1027,0.4749
2012-08-14T17:00:47,106.3,28.8,0.8,6.2662,19.6148,0.5101,15.1578,0.4134
2012-08-14T17:15:47,166.8,29.7,0.7,8.5177,19.9997,0.665,15.62,0.5453
2012-08-14T17:30:47,108.0,29.0,0.8,6.4061,19.6331,0.5216,15.1571,0.4226
2012-08-14T17:45:46,113.1,28.3,0.9,5.9077,19.5861,0.473,15.2957,0.3862
2012-08-14T18:00:47,61.3,26.7,1.3,3.672,19.0916,0.3072,14.8006,0.2481
2012-08-15T06:15:47,65.7,21.4,1.5,3.478,19.6958,0.2724,15.6334,0.2225
2012-08-15T06:30:47,92.9,22.1,1.2,4.9094,20.0993,0.3759,15.9113,0.3085
2012-08-15T06:45:47,127.0,22.2,1.0,6.5656,20.3959,0.4948,16.1054,0.4077
2012-08-15T07:00:47,164.8,25.0,0.8,8.3571,20.5928,0.6246,16.2178,0.5153
2012-08-15T07:15:47,207.3,26.1,0.8,10.38,20.7651,0.7688,16.3357,0.6354
2012-08-15T07:30:46,254.1,27.6,0.7,12.7681,20.915,0.9398,16.4135,0.7779
2012-08-15T07:45:47,302.3,28.1,0.7,15.4127,21.0743,1.1284,16.4918,0.9346
2012-08-15T08:00:46,351.7,30.2,0.7,18.0497,21.0958,1.3231,16.4494,1.0973
2012-08-15T08:15:46,403.9,31.7,0.6,21.1221,21.1434,1.5536,16.4074,1.2874
2012-08-15T08:30:47,476.5,34.1,0.6,25.4672,21.1593,1.8808,16.3333,1.5592
2012-08-15T08:45:47,527.0,36.6,0.6,28.3602,21.0614,2.1107,16.2125,1.7493
2012-08-15T09:00:47,576.1,37.9,0.6,31.088,21.0013,2.3301,16.0996,1.931
2012-08-15T09:15:46,632.4,41.7,0.6,34.2144,20.786,2.6033,15.8653,2.1566
2012-08-15T09:30:46,680.2,45.8,0.5,36.7341,20.5153,2.8442,15.591,2.3561
2012-08-15T09:45:47,720.4,50.6,0.5,38.4985,20.1896,3.0372,15.2964,2.5168
2012-08-15T10:00:47,755.0,50.6,0.5,40.6642,20.3288,3.1995,15.3561,2.6481
2012-08-15T10:15:47,811.0,52.4,0.5,43.6752,20.2264,3.4779,15.1987,2.8736
2012-08-15T10:30:47,840.9,54.1,0.5,44.9766,20.1063,3.61,15.077,2.9831
2012-08-15T11:00:47,872.0,48.8,0.5,46.0684,20.5935,3.5821,15.5237,2.9676
2012-08-15T11:15:46,948.0,52.5,0.5,49.9379,20.3764,3.95,15.2637,3.2717
2012-08-15T11:30:47,393.1,50.1,0.4,25.1789,19.6131,2.0541,14.8555,1.6949
2012-08-15T11:45:47,963.6,50.5,0.5,48.9313,20.5959,3.7733,15.5717,3.1423
2012-08-15T12:00:47,948.5,54.2,0.5,48.4362,20.1901,3.8338,15.194,3.1879
2012-08-15T12:15:47,333.3,42.8,0.6,21.2059,20.0949,1.6992,15.2397,1.3915
2012-08-15T12:30:47,359.9,45.0,0.6,22.5649,20.035,1.817,15.1681,1.4877
2012-08-15T12:45:46,873.4,40.9,0.5,44.027,21.3506,3.2304,16.3512,2.6926
2012-08-15T13:00:47,326.7,41.6,0.6,20.7786,20.1278,1.6627,15.2754,1.3603
2012-08-15T13:15:47,313.9,43.3,0.4,19.3345,19.8923,1.5637,15.1124,1.2794
