Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2012-08-14T06:15:31,72.2,15.4,1.2,2.2393,19.4726,0.1727,15.2704,0.1466
2012-08-14T06:30:31,106.8,16.9,0.9,3.2507,19.8519,0.2388,15.8685,0.2049
2012-08-14T06:45:31,149.0,19.3,0.7,4.6856,20.1226,0.3309,16.3249,0.287
2012-08-14T07:00:31,202.8,22.4,0.5,6.739,20.3126,0.4603,16.6639,0.4044
2012-08-14T07:15:31,259.3,25.6,0.5,9.1245,20.4194,0.6104,16.8503,0.5415
2012-08-14T07:30:31,315.2,29.0,0.4,11.5501,20.4282,0.7655,16.8864,0.684
2012-08-14T07:45:31,370.3,32.8,0.4,13.9714,20.3796,0.924,16.8386,0.8297
2012-08-14T08:00:31,428.8,34.3,0.4,16.6583,20.4552,1.0928,16.9023,0.9856
2012-08-14T08:15:31,486.4,38.2,0.4,19.0682,20.3308,1.2589,16.7568,1.1379
2012-08-14T08:30:31,542.0,41.6,0.3,21.3251,20.2199,1.4177,16.609,1.284
2012-08-14T08:45:31,594.7,43.3,0.3,23.5498,20.1917,1.5694,16.5475,1.4232
2012-08-14T09:00:31,650.0,47.2,0.3,25.623,20.0327,1.7268,16.3536,1.5668
2012-08-14T09:15:31,702.3,47.7,0.3,27.8686,20.0756,1.8757,16.3635,1.7031
2012-08-14T09:30:32,746.2,48.8,0.3,29.601,20.0696,1.9961,16.3259,1.8131
2012-08-14T09:45:31,789.9,50.0,0.3,31.278,20.0438,2.1152,16.2679,1.9227
2012-08-14T10:00:31,833.9,52.5,0.3,32.7931,19.9209,2.2408,16.1076,2.0359
2012-08-14T10:15:31,871.3,53.2,0.3,34.2891,19.9443,2.3411,16.1109,2.1283
2012-08-14T10:30:31,902.5,53.9,0.3,35.3933,19.8987,2.4281,16.0397,2.2066
2012-08-14T10:45:31,949.7,57.2,0.3,36.7974,19.726,2.5616,15.8265,2.3251
2012-08-14T11:00:31,958.0,55.9,0.3,37.3978,19.8516,2.5813,15.9518,2.3444
2012-08-14T11:15:32,1014.4,58.8,0.3,39.2225,19.7418,2.7367,15.793,2.4835
2012-08-14T12:00:32,1031.4,60.1,0.3,39.6126,19.6171,2.7898,15.6543,2.5305
2012-08-14T12:15:32,1019.9,60.5,0.3,39.0046,19.5634,2.7568,15.6056,2.4994
2012-08-14T12:30:31,1017.5,59.6,0.3,39.0619,19.6115,2.7501,15.6589,2.4945
2012-08-14T12:45:32,1015.5,63.4,0.3,38.3882,19.3757,2.7507,15.4242,2.4888
2012-08-14T13:00:32,1005.4,63.6,0.3,37.7676,19.3033,2.7187,15.3594,2.4589
2012-08-14T13:15:32,985.0,60.7,0.3,37.4868,19.4578,2.6655,15.5287,2.414
2012-08-14T13:30:32,956.8,62.3,0.3,36.1467,19.3672,2.5838,15.4615,2.3379
2012-08-14T13:45:32,948.7,62.8,0.3,35.7941,19.3355,2.563,15.4344,2.3191
2012-08-14T14:00:31,899.3,59.4,0.3,34.2705,19.4528,2.4281,15.5879,2.1985
2012-08-14T14:15:32,858.1,59.5,0.3,32.6465,19.431,2.3125,15.5993,2.0928
2012-08-14T14:30:32,829.9,59.3,0.3,31.6074,19.4327,2.2362,15.6226,2.0232
2012-08-14T14:45:31,788.3,57.3,0.3,30.1395,19.4472,2.1263,15.6661,1.9239
2012-08-14T15:15:32,708.7,51.1,0.3,27.6453,19.7884,1.8993,16.0691,1.7204
2012-08-14T15:30:32,166.8,39.2,0.5,5.9877,18.9752,0.4479,15.3891,0.3891
2012-08-14T15:45:31,528.4,38.9,0.3,21.0284,20.356,1.3858,16.7606,1.2546
2012-08-14T16:00:31,463.0,44.6,0.3,17.6672,19.7775,1.2116,16.2078,1.09
2012-08-14T16:45:31,121.7,36.3,0.8,4.2237,18.7678,0.3277,15.0758,0.2802
2012-08-14T17:00:31,104.1,32.2,0.8,3.56,18.8557,0.2768,15.0692,0.2362
2012-08-14T17:15:31,170.0,32.4,0.6,5.6393,19.3902,0.4123,15.7504,0.358
2012-08-14T17:30:31,106.9,31.9,0.8,3.6878,18.9286,0.2851,15.1502,0.2434
2012-08-14T17:45:31,113.9,31.1,0.8,3.5582,18.9422,0.2757,15.1494,0.2349
2012-08-14T18:00:32,61.9,29.5,1.2,2.0418,18.3432,0.1711,14.2881,0.1429
2012-08-15T06:15:32,65.3,22.9,1.2,2.2184,18.9258,0.1774,14.8186,0.1497
2012-08-15T06:30:32,92.3,23.5,0.9,3.1436,19.3299,0.2391,15.4137,0.2039
2012-08-15T06:45:32,126.4,24.6,0.7,4.3192,19.6411,0.3156,15.8517,0.2725
2012-08-15T07:00:32,163.9,26.0,0.6,5.6579,19.8527,0.4015,16.1699,0.3499
2012-08-15T07:15:32,206.5,27.4,0.5,7.2996,20.0351,0.5054,16.4201,0.4446
2012-08-15T07:30:31,252.9,28.9,0.5,9.2331,20.1833,0.6267,16.6284,0.5553
