Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2012-08-14T06:15:40,72.6,15.5,1.9,4.5086,19.2683,0.322,15.7781,0.2858
2012-08-14T06:30:40,107.1,16.3,1.4,6.4132,19.5977,0.4451,16.1286,0.3976
2012-08-14T06:45:40,149.2,18.5,1.1,9.0288,19.8115,0.6139,16.3549,0.5521
2012-08-14T07:00:40,203.4,21.7,0.8,12.7902,19.9767,0.8573,16.5062,0.7749
2012-08-14T07:15:40,260.0,24.6,0.7,17.1025,20.0836,1.1362,16.5615,1.0327
2012-08-14T07:30:39,315.7,28.4,0.7,21.3916,20.0797,1.4224,16.5122,1.2955
2012-08-14T07:45:40,370.6,31.9,0.6,25.7668,20.0483,1.7198,16.4163,1.5696
2012-08-14T08:00:40,429.4,33.2,0.6,30.5718,20.1538,2.033,16.4515,1.8583
2012-08-14T08:15:40,486.4,37.1,0.6,34.716,20.0214,2.3359,16.246,2.1369
2012-08-14T08:30:40,541.8,40.2,0.6,38.7009,19.9506,2.6279,16.0909,2.4051
2012-08-14T08:45:40,595.1,42.4,0.5,42.5362,19.9046,2.9096,15.9792,2.662
2012-08-14T09:00:40,651.3,45.6,0.5,46.2089,19.7919,3.1999,15.7799,2.9283
2012-08-14T09:15:40,702.9,46.1,0.5,50.0776,19.86,3.4645,15.7853,3.1724
2012-08-14T09:30:40,747.2,46.9,0.5,53.0263,19.8452,3.6877,15.7097,3.3754
2012-08-14T09:45:40,790.5,48.1,0.5,55.8942,19.8345,3.9067,15.6418,3.5734
2012-08-14T10:00:40,834.3,50.7,0.5,58.4054,19.7179,4.1358,15.4647,3.7767
2012-08-14T10:15:40,871.5,50.8,0.5,60.8703,19.7412,4.3208,15.4339,3.9439
2012-08-14T10:30:40,903.5,51.7,0.5,62.7533,19.6984,4.4788,15.3411,4.0905
2012-08-14T10:45:40,949.6,54.6,0.5,65.0672,19.5499,4.7144,15.1436,4.2967
2012-08-14T11:00:40,957.9,52.9,0.5,66.2207,19.7022,4.7485,15.2878,4.3316
2012-08-14T11:15:40,1015.8,55.5,0.5,69.3502,19.586,5.0425,15.1051,4.5912
2012-08-14T12:00:40,1033.1,57.7,0.5,69.9773,19.4855,5.1423,14.9729,4.6736
2012-08-14T12:15:40,1018.9,57.6,0.5,68.8816,19.4393,5.0678,14.9492,4.6077
2012-08-14T12:30:40,1018.6,56.2,0.5,69.0623,19.4791,5.0627,14.9951,4.6057
2012-08-14T12:45:40,1014.5,60.4,0.5,67.8089,19.2497,5.0636,14.7617,4.5936
2012-08-14T13:00:40,1003.2,60.2,0.6,66.4706,19.1393,4.9924,14.6673,4.5319
2012-08-14T13:15:40,984.3,52.6,0.5,67.3348,19.5267,4.8928,15.0859,4.4634
2012-08-14T13:30:40,957.3,54.9,0.5,64.7918,19.3809,4.7517,14.9722,4.3275
2012-08-14T13:45:40,950.5,55.6,0.5,64.3114,19.3656,4.7237,14.9565,4.2999
2012-08-14T14:00:40,899.6,52.4,0.5,61.7971,19.4956,4.4693,15.1567,4.0772
2012-08-14T14:15:40,859.3,52.1,0.5,59.0606,19.4714,4.263,15.1721,3.8927
2012-08-14T14:30:40,829.5,55.0,0.5,56.7367,19.3508,4.1253,15.0889,3.7602
2012-08-14T14:45:40,788.9,54.5,0.5,54.2899,19.3275,3.9381,15.1117,3.5926
2012-08-14T15:00:40,273.5,49.4,0.7,18.9862,18.5172,1.4006,14.9142,1.273
2012-08-14T15:15:40,707.8,48.3,0.5,49.9558,19.6706,3.504,15.5671,3.2091
2012-08-14T15:30:40,166.7,36.9,0.8,11.5326,18.7968,0.8307,15.3118,0.7532
2012-08-14T15:45:40,526.9,37.6,0.5,38.1043,20.0564,2.5537,16.2006,2.352
