Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A)
2012-08-14T06:15:42,72.7,15.1,1.8,4.8492,19.9437,0.3292,16.5413,0.2932
2012-08-14T06:30:42,107.2,16.2,1.4,6.9503,20.2339,0.457,16.851,0.4125
2012-08-14T06:45:42,149.1,18.5,1.1,9.7332,20.4004,0.629,17.0077,0.5723
2012-08-14T07:00:42,203.6,21.7,0.8,13.6707,20.5064,0.875,17.056,0.8015
2012-08-14T07:15:42,260.0,24.9,0.7,18.0694,20.5598,1.1555,17.0303,1.061
2012-08-14T07:30:42,315.7,28.4,0.7,22.4099,20.5112,1.4426,16.9003,1.326
2012-08-14T07:45:42,370.6,32.2,0.6,26.7433,20.4283,1.7395,16.7375,1.5978
2012-08-14T08:00:42,429.5,33.7,0.6,31.4852,20.4879,2.0533,16.7049,1.8848
2012-08-14T08:15:42,486.5,37.5,0.6,35.5585,20.3406,2.3561,16.4639,2.1598
2012-08-14T08:30:42,541.7,40.8,0.6,39.3872,20.2221,2.6462,16.2662,2.4214
2012-08-14T08:45:42,595.6,42.7,0.5,43.1835,20.1711,2.9309,16.1322,2.6768
2012-08-14T09:00:42,651.7,46.4,0.5,46.7061,20.0133,3.2217,15.906,2.9364
2012-08-14T09:15:42,703.0,46.2,0.5,50.4954,20.0781,3.4877,15.9015,3.1755
2012-08-14T09:30:42,747.3,48.3,0.5,53.2568,20.0283,3.7102,15.7907,3.3727
2012-08-14T09:45:42,790.6,49.6,0.5,55.9693,19.9978,3.927,15.7035,3.5641
2012-08-14T10:00:42,834.5,51.7,0.5,58.4762,19.8798,4.1538,15.5235,3.7669
2012-08-14T10:15:42,871.4,52.8,0.5,60.7126,19.863,4.3362,15.4511,3.9293
2012-08-14T10:30:42,903.9,54.0,0.5,62.5806,19.8057,4.5014,15.364,4.0732
2012-08-14T10:45:42,949.3,56.7,0.5,64.7728,19.6599,4.7341,15.1505,4.2753
2012-08-14T11:00:42,958.2,55.6,0.5,65.7799,19.7784,4.7682,15.2622,4.31
2012-08-14T11:15:42,1016.2,57.2,0.5,68.9219,19.6783,5.0633,15.0978,4.565
2012-08-14T12:00:42,1033.3,58.0,0.5,69.6135,19.625,5.1481,15.0143,4.6365
2012-08-14T12:15:42,1019.4,58.9,0.5,68.5152,19.5481,5.0794,14.9712,4.5765
2012-08-14T12:30:42,1019.5,58.2,0.5,68.7471,19.587,5.0744,15.0145,4.5787
2012-08-14T12:45:42,1014.8,61.2,0.5,67.4174,19.3703,5.0649,14.7951,4.5567
2012-08-14T13:00:42,1003.0,61.5,0.5,66.4066,19.3285,4.9944,14.7747,4.4946
2012-08-14T13:15:43,984.3,55.6,0.5,67.2056,19.6965,4.8992,15.1658,4.4314
2012-08-14T13:30:43,957.3,57.4,0.5,64.6654,19.5433,4.7541,15.0594,4.294
2012-08-14T13:45:43,950.7,57.5,0.5,64.3948,19.5559,4.7226,15.0857,4.2686
2012-08-14T14:00:42,899.9,54.0,0.5,62.2288,19.7405,4.4607,15.3423,4.056
2012-08-14T14:15:42,859.7,54.3,0.5,59.3735,19.6841,4.2579,15.3401,3.8705
2012-08-14T14:30:43,829.5,55.9,0.5,56.7845,19.5209,4.1071,15.2175,3.7315
