Time Stamp (local standard time) yyyy-mm-ddThh:mm:ss,POA irradiance CMP22 pyranometer (W/m2),PV module back surface temperature (degC),Pmp uncertainty (%),Pmp (W),Voc (V),Isc (A),Vmp (V),Imp (A),Time Stamp,Hour,Cluster
2011-01-21T08:10:26,20.2,19.3,12.8,1.961,176.8069,0.0189,132.0158,0.0149,2011-01-21 08:10:26,8,0
2011-01-21T08:15:26,35.8,19.5,7.6,3.7242,186.5078,0.0328,141.7566,0.0263,2011-01-21 08:15:26,8,0
2011-01-21T08:20:26,20.2,19.5,13.1,1.9551,176.7535,0.0189,131.997,0.0148,2011-01-21 08:20:26,8,0
2011-01-21T08:25:26,20.6,19.5,12.5,2.0057,177.032,0.0193,132.3297,0.0152,2011-01-21 08:25:26,8,0
2011-01-21T08:35:26,29.5,19.5,8.5,3.1397,183.761,0.0286,137.4764,0.0228,2011-01-21 08:35:26,8,0
2011-01-21T09:10:26,32.6,19.4,7.7,3.5718,185.7734,0.0318,140.3954,0.0254,2011-01-21 09:10:26,9,0
2011-01-21T09:15:25,49.0,19.9,5.2,5.5997,191.8096,0.0477,144.8191,0.0387,2011-01-21 09:15:25,9,2
2011-01-21T09:20:26,34.3,20.0,7.2,3.7919,186.1712,0.0337,140.5741,0.027,2011-01-21 09:20:26,9,0
2011-01-21T09:25:25,38.3,19.9,6.7,4.2715,188.007,0.0372,142.5586,0.03,2011-01-21 09:25:25,9,0
2011-01-21T09:30:25,46.6,19.6,5.5,5.2312,191.1687,0.0448,144.476,0.0362,2011-01-21 09:30:25,9,0
2011-01-21T09:35:26,49.0,19.8,5.2,5.6078,192.0171,0.0478,145.2129,0.0386,2011-01-21 09:35:26,9,2
2011-01-21T09:40:26,44.2,19.4,5.8,5.0353,190.7984,0.0432,144.2514,0.0349,2011-01-21 09:40:26,9,0
2011-01-21T09:45:26,53.8,19.1,4.7,6.389,194.4318,0.0534,147.2782,0.0434,2011-01-21 09:45:26,9,2
2011-01-21T09:50:26,40.6,19.4,6.1,4.8129,190.1489,0.0412,144.2154,0.0334,2011-01-21 09:50:26,9,0
2011-01-21T10:00:26,60.1,18.6,4.2,7.423,197.2763,0.0603,150.7787,0.0492,2011-01-21 10:00:26,10,2
